"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.target_property"	"Answer.choice"	"Answer.familiarization_cond"	"Answer.money_allocated_to_target"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_target"	"Answer.target_frequency"	"Answer.about"	"Answer.familiarization_present_in_study"	"Answer.participant_response_type_condition"	"Answer.manip_check_target"	"Answer.participant_feature_count_condition"	"Answer.target_filler_sequence_condition"	"Answer.comment"	"Answer.linguistic_framing_condition"	"Answer.manip_check_dist"	"Answer.item"	"Answer.target_position"	"Answer.name_check_correct"	"Answer.Likert_value_foil"	"Answer.choice_correct"	"Answer.Likert_value_logical"	"Answer.money_allocated_to_foil"	"Answer.question_type_condition"
"29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 12:08:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 12:08:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2N5P8PJWKUDDRQSBZVU950BBNLG8JX"	"A2C4R0TBPZGWTD"	"Approved"	"Mon Dec 02 04:50:27 PST 2013"	"Sun Dec 01 12:09:55 PST 2013"	"Sun Dec 01 12:10:27 PST 2013"	"Sun Dec 01 12:12:26 PST 2013"	""	""	""	""	"""motor"""	"""target"""	"-1"	"-1"	"-1"	"-1"	"0"	"""boats"""	"0"	"0"	"""2"""	"1"	"0"	"""thanks"""	"0"	"""1"""	"""boat"""	"""left"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"	"-1"	"0"
"29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 12:08:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 12:08:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2MKTMOFXRDS4157EUIEXPFM6U2TVS4"	"A2TAUP3B2QB99F"	"Approved"	"Mon Dec 02 04:51:12 PST 2013"	"Sun Dec 01 12:09:56 PST 2013"	"Sun Dec 01 12:11:12 PST 2013"	"Sun Dec 01 12:12:26 PST 2013"	""	""	""	""	"""motor"""	"""logical"""	"-1"	"-1"	"-1"	"-1"	"0"	"""A person named Bob who likes to rent boats."""	"0"	"0"	"""2"""	"1"	"0"	"""I have no idea of the hypothesis of this survey, but it was extremely enjoyable and fun! Thank you for sharing!"""	"0"	"""1"""	"""boat"""	"""middle"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"-1"	"0"
"29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 12:08:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 12:08:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2IAUB2YU98JHBMRBZQRFHJ9NH3BMAJ"	"A1DIVR1A7B0PHG"	"Approved"	"Mon Dec 02 04:51:15 PST 2013"	"Sun Dec 01 12:10:24 PST 2013"	"Sun Dec 01 12:11:15 PST 2013"	"Sun Dec 01 12:12:26 PST 2013"	""	""	""	""	"""cabin"""	"""target"""	"-1"	"-1"	"-1"	"-1"	"0"	"""No clue."""	"0"	"0"	"""2"""	"1"	"0"	""""""	"0"	"""["""	"""boat"""	"""left"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"	"-1"	"0"
"29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 12:08:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 12:08:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2M8W40SPW1IN5AMYM9A3TABB47E1EL"	"A3T5E7K68QRMKC"	"Approved"	"Mon Dec 02 04:52:09 PST 2013"	"Sun Dec 01 12:11:01 PST 2013"	"Sun Dec 01 12:12:09 PST 2013"	"Sun Dec 01 12:16:20 PST 2013"	""	""	""	""	"""motor"""	"""logical"""	"-1"	"-1"	"-1"	"-1"	"0"	"""Attention to details and cognition"""	"0"	"0"	"""2"""	"1"	"0"	""""""	"0"	"""1"""	"""boat"""	"""middle"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"-1"	"0"
"29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 12:08:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 12:08:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"26TINMHGYQ4JMGGB2G6MLFO3RAN8L1"	"AZIODT1KEZZ3N"	"Approved"	"Mon Dec 02 05:02:30 PST 2013"	"Sun Dec 01 12:21:45 PST 2013"	"Sun Dec 01 12:22:30 PST 2013"	"Sun Dec 01 12:29:20 PST 2013"	""	""	""	""	"""sail"""	"""target"""	"-1"	"-1"	"-1"	"-1"	"0"	"""Interpretation"""	"0"	"0"	"""2"""	"1"	"0"	"""No"""	"0"	"""1"""	"""boat"""	"""left"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"	"-1"	"0"
"29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 12:08:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 12:08:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"297YQS1CSTMOYQXDO99C7EYIGPCMP0"	"A1GF29TP5AVQ49"	"Approved"	"Mon Dec 02 05:02:45 PST 2013"	"Sun Dec 01 12:21:09 PST 2013"	"Sun Dec 01 12:22:45 PST 2013"	"Sun Dec 01 12:29:20 PST 2013"	""	""	""	""	"""cabin"""	"""logical"""	"-1"	"-1"	"-1"	"-1"	"0"	"""pick which of the three boats you think bob likes the best. bob likes a boat with a cabin the best."""	"0"	"0"	"""2"""	"1"	"0"	"""no"""	"0"	"""1"""	"""boat"""	"""right"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"-1"	"0"
"29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 12:08:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 12:08:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"20YSVQ8H88MQDZR5KGMCO1R2QW3Q7K"	"A3SUH4P51M5YQS"	"Approved"	"Mon Dec 02 05:04:26 PST 2013"	"Sun Dec 01 12:23:03 PST 2013"	"Sun Dec 01 12:24:26 PST 2013"	"Sun Dec 01 12:31:20 PST 2013"	""	""	""	""	"""motor"""	"""logical"""	"-1"	"-1"	"-1"	"-1"	"0"	"""Bob's rented boats"""	"0"	"0"	"""2"""	"1"	"0"	"""no"""	"0"	"""1"""	"""boat"""	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"-1"	"0"
"29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 12:08:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 12:08:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2FFQYN5F3Q0JZYZYIS3W4B4E81MEAO"	"A2DZTEIGIIGIVN"	"Approved"	"Mon Dec 02 05:04:33 PST 2013"	"Sun Dec 01 12:23:30 PST 2013"	"Sun Dec 01 12:24:33 PST 2013"	"Sun Dec 01 12:31:21 PST 2013"	""	""	""	""	"""motor"""	"""target"""	"-1"	"-1"	"-1"	"-1"	"0"	"""Boats"""	"0"	"0"	"""3"""	"1"	"0"	"""No"""	"0"	"""1"""	"""boat"""	"""middle"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"	"-1"	"0"
"29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 12:08:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 12:08:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"24QT3DHJHP4BW6QG03ZRYX92W8W2VA"	"A3NNEI7KV2AE4N"	"Approved"	"Mon Dec 02 05:04:39 PST 2013"	"Sun Dec 01 12:23:35 PST 2013"	"Sun Dec 01 12:24:39 PST 2013"	"Sun Dec 01 12:31:21 PST 2013"	""	""	""	""	"""motor"""	"""logical"""	"-1"	"-1"	"-1"	"-1"	"0"	"""what he was talking about """	"0"	"0"	"""2"""	"1"	"0"	"""nope"""	"0"	"""1"""	"""boat"""	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"-1"	"0"
"29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 12:08:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 12:08:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=29UM6IAA2SEIDN00WTHKQA4KCB8MMS"	"21U4SMEZZ2MI3FT9QDG9438YPOQL46"	"A19TO0DNMCOXX5"	"Approved"	"Mon Dec 02 05:05:10 PST 2013"	"Sun Dec 01 12:24:41 PST 2013"	"Sun Dec 01 12:25:10 PST 2013"	"Sun Dec 01 12:31:22 PST 2013"	""	""	""	""	"""sail"""	"""logical"""	"-1"	"-1"	"-1"	"-1"	"0"	"""boats"""	"0"	"0"	"""2"""	"1"	"0"	""""""	"0"	"""1"""	"""boat"""	"""middle"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"-1"	"0"
