"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.item"	"Answer.target_property"	"Answer.target_frequency"	"Answer.target_position"	"Answer.familiarization_cond"	"Answer.participant_response_type_condition"	"Answer.participant_feature_count_condition"	"Answer.linguistic_framing_condition"	"Answer.target_filler_sequence_condition"	"Answer.question_type_condition"	"Answer.manip_check_target"	"Answer.manip_check_dist"	"Answer.name_check_correct"	"Answer.choice"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"	"Answer.money_allocated_to_target"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_foil"	"Answer.Likert_value_target"	"Answer.Likert_value_logical"	"Answer.about"	"Answer.comment"	"Answer.age"	"Answer.gender"	"Answer.familiarization_present_in_study"
"2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Fri Jan 17 20:41:58 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri Jan 24 20:41:58 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2PB51Y7QEOZFHJY18XKMUFXXH7YGDW"	"A739KVVYKGGS0"	"Approved"	"Sat Jan 18 13:23:28 PST 2014"	"Fri Jan 17 20:42:17 PST 2014"	"Fri Jan 17 20:43:28 PST 2014"	"Fri Jan 17 20:48:00 PST 2014"	""	""	""	""	"""pizza"""	"""peppers"""	"0"	"""middle"""	"-1"	"0"	"1"	"5"	"0"	"0"	"""2"""	"""1"""	"""FALSE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Pizza on Wednesday one. Here's one with peppers and one with peppers and mushrooms"""	"""No"""	"""24"""	"""M"""	"0"
"2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Fri Jan 17 20:41:58 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri Jan 24 20:41:58 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2TAA0RYNJ92N2DS01GDJZUH40HA94L"	"A20LXZW9N469UT"	"Approved"	"Sat Jan 18 13:24:13 PST 2014"	"Fri Jan 17 20:43:11 PST 2014"	"Fri Jan 17 20:44:13 PST 2014"	"Fri Jan 17 20:48:00 PST 2014"	""	""	""	""	"""friend"""	"""hat"""	"0"	"""right"""	"-1"	"0"	"1"	"5"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""See which person you thought was happier since 2 were wearing a hat"""	""""""	"""28"""	"""f"""	"0"
"2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Fri Jan 17 20:41:58 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri Jan 24 20:41:58 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2D7DEY5COW0LZK534HIFRC61R9U4VX"	"A4KZW1L6ICJBU"	"Approved"	"Sat Jan 18 13:24:51 PST 2014"	"Fri Jan 17 20:43:21 PST 2014"	"Fri Jan 17 20:44:51 PST 2014"	"Fri Jan 17 20:48:01 PST 2014"	""	""	""	""	"""boat"""	"""sail"""	"0"	"""right"""	"-1"	"0"	"1"	"5"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""what Bob is talking about"""	"""no"""	"""31"""	"""f"""	"0"
"2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Fri Jan 17 20:41:58 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri Jan 24 20:41:58 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"239V8ER9Y8TN3BSZORWKLHS8S1V5SY"	"ASB8T0H7L99RF"	"Approved"	"Sat Jan 18 13:25:05 PST 2014"	"Fri Jan 17 20:44:24 PST 2014"	"Fri Jan 17 20:45:05 PST 2014"	"Fri Jan 17 20:48:01 PST 2014"	""	""	""	""	"""sundae"""	"""cherry"""	"0"	"""right"""	"-1"	"0"	"1"	"5"	"0"	"0"	"""2"""	"""1"""	"""FALSE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Not sure"""	"""No"""	"""29"""	"""F"""	"0"
"2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Fri Jan 17 20:41:58 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri Jan 24 20:41:58 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2MPKNQY2RCJKPW5VA88R6KUOE53S3U"	"A391ZN8VUPKAYK"	"Approved"	"Sat Jan 18 13:25:32 PST 2014"	"Fri Jan 17 20:43:35 PST 2014"	"Fri Jan 17 20:45:32 PST 2014"	"Fri Jan 17 20:48:01 PST 2014"	""	""	""	""	"""boat"""	"""cabin"""	"0"	"""right"""	"-1"	"0"	"1"	"5"	"0"	"0"	"""2"""	"""1"""	"""FALSE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Making judgements with little info"""	""""""	"""49"""	"""female"""	"0"
"2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Fri Jan 17 20:41:58 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri Jan 24 20:41:58 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2RQW2GTP9RA7BY2MXB0YYOFD4YIUPQ"	"A301KR0429JMRQ"	"Approved"	"Sat Jan 18 13:30:57 PST 2014"	"Fri Jan 17 20:49:58 PST 2014"	"Fri Jan 17 20:50:57 PST 2014"	"Fri Jan 17 20:55:36 PST 2014"	""	""	""	""	"""pizza"""	"""mushrooms"""	"0"	"""left"""	"-1"	"0"	"1"	"5"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""He likes pizzas"""	"""Short surveys are fun"""	"""23"""	"""male"""	"0"
"2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Fri Jan 17 20:41:58 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri Jan 24 20:41:58 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2PI0ONNVRH1K0HFECW27CNVFPZSWNV"	"A13VIJ7G997ZCY"	"Approved"	"Sat Jan 18 13:30:59 PST 2014"	"Fri Jan 17 20:50:03 PST 2014"	"Fri Jan 17 20:50:59 PST 2014"	"Fri Jan 17 20:55:37 PST 2014"	""	""	""	""	"""Christmas tree"""	"""lights"""	"0"	"""left"""	"-1"	"0"	"1"	"5"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""determiners"""	"""no"""	"""29"""	"""f"""	"0"
"2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Fri Jan 17 20:41:58 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri Jan 24 20:41:58 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2ADWSBRI8IUBLR094O8SZLB9PFBF30"	"A3D4U1VY8VSDI6"	"Approved"	"Sat Jan 18 13:34:27 PST 2014"	"Fri Jan 17 20:50:31 PST 2014"	"Fri Jan 17 20:54:27 PST 2014"	"Fri Jan 17 21:23:49 PST 2014"	""	""	""	""	"""sundae"""	"""chocolate"""	"0"	"""right"""	"-1"	"0"	"1"	"5"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""logical"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""picture and decision making"""	""""""	"""30"""	"""f"""	"0"
"2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Fri Jan 17 20:41:58 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri Jan 24 20:41:58 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2UMDD8XMB3Q3SS6B2ZKOCT4KZ7PQFE"	"A3UKZFJ7HWL2D3"	"Approved"	"Sat Jan 18 13:34:36 PST 2014"	"Fri Jan 17 20:52:33 PST 2014"	"Fri Jan 17 20:54:36 PST 2014"	"Fri Jan 17 21:23:50 PST 2014"	""	""	""	""	"""pizza"""	"""olives"""	"0"	"""middle"""	"-1"	"0"	"1"	"5"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""How we may comprehend things differently and pay attention."""	""""""	"""37"""	"""f"""	"0"
"2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Fri Jan 17 20:41:58 PST 2014"	"100"	"0"	"0"	"100"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Fri Jan 24 20:41:58 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=2KXDEY5COW0LZK534HIFRC6XLRYV4I"	"2IEZ9O9Z6KW4IFGZDMIRRFQ6S2L3CF"	"AU5Y7J1PF0UIT"	"Approved"	"Sat Jan 18 13:37:27 PST 2014"	"Fri Jan 17 20:56:38 PST 2014"	"Fri Jan 17 20:57:27 PST 2014"	"Fri Jan 17 21:23:50 PST 2014"	""	""	""	""	"""friend"""	"""hat"""	"0"	"""middle"""	"-1"	"0"	"1"	"5"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""target"""	"""TRUE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""friends with hats being happy"""	"""fun hit, as usual!"""	"""28"""	"""f"""	"0"
