"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.target_property"	"Answer.familiarization_cond"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_target"	"Answer.participant_response_type_condition"	"Answer.comment"	"Answer.linguistic_framing_condition"	"Answer.manip_check_dist"	"Answer.item"	"Answer.Likert_value_logical"	"Answer.question_type_condition"	"Answer.choice"	"Answer.money_allocated_to_target"	"Answer.target_frequency"	"Answer.about"	"Answer.familiarization_present_in_study"	"Answer.manip_check_target"	"Answer.participant_feature_count_condition"	"Answer.target_filler_sequence_condition"	"Answer.target_position"	"Answer.name_check_correct"	"Answer.Likert_value_foil"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"
"248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 09 03:03:06 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 16 03:03:06 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"26B5OPB0YVGZRRSW7C5PFU36XR97Z2"	"A1UTBDKOQ2MKUD"	"Approved"	"Mon Dec 09 19:47:21 PST 2013"	"Mon Dec 09 03:05:49 PST 2013"	"Mon Dec 09 03:07:21 PST 2013"	"Mon Dec 09 03:21:37 PST 2013"	""	""	""	""	"""scarf"""	"-1"	"-1"	"6"	"2"	""""""	"1"	"""1"""	"""snowman"""	"7"	"0"	"""null"""	"-1"	"0"	"""Language and Cognition"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 09 03:03:06 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 16 03:03:06 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2FPH0JPPSI2KH7VLOUY5QLMBR3IOID"	"A38H9FJ0DLPCXR"	"Approved"	"Mon Dec 09 19:53:02 PST 2013"	"Mon Dec 09 03:10:46 PST 2013"	"Mon Dec 09 03:13:02 PST 2013"	"Mon Dec 09 03:21:37 PST 2013"	""	""	""	""	"""mittens"""	"-1"	"-1"	"7"	"2"	""""""	"1"	"""1"""	"""snowman"""	"7"	"0"	"""null"""	"-1"	"0"	"""snowmen"""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 09 03:03:06 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 16 03:03:06 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2UHEIB9BAWLS5QVQ10OUJ3MYMBP2ZJ"	"A1PT95CB1DWTL3"	"Approved"	"Mon Dec 09 19:57:14 PST 2013"	"Mon Dec 09 03:14:57 PST 2013"	"Mon Dec 09 03:17:14 PST 2013"	"Mon Dec 09 03:21:37 PST 2013"	""	""	""	""	"""mittens"""	"-1"	"-1"	"7"	"2"	"""no"""	"1"	"""1"""	"""snowman"""	"7"	"0"	"""null"""	"-1"	"0"	"""language"""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 09 03:03:06 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 16 03:03:06 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2C521O3W5XH02IVSE7BYKPLXKRLBH4"	"A274NFT93QPBGL"	"Approved"	"Mon Dec 09 19:57:33 PST 2013"	"Mon Dec 09 03:16:19 PST 2013"	"Mon Dec 09 03:17:33 PST 2013"	"Mon Dec 09 03:21:36 PST 2013"	""	""	""	""	"""scarf"""	"-1"	"-1"	"6"	"2"	"""No."""	"1"	"""1"""	"""snowman"""	"6"	"0"	"""null"""	"-1"	"0"	"""To see how people view people who can only communicate with one word."""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 09 03:03:06 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 16 03:03:06 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2MFHMVHVKCJ0KUQ239A7FKQ11LO64S"	"AWNGOAO24ARJY"	"Approved"	"Mon Dec 09 19:58:00 PST 2013"	"Mon Dec 09 03:16:17 PST 2013"	"Mon Dec 09 03:18:00 PST 2013"	"Mon Dec 09 03:21:37 PST 2013"	""	""	""	""	"""scarf"""	"-1"	"-1"	"4"	"2"	""""""	"1"	"""1"""	"""snowman"""	"2"	"0"	"""null"""	"-1"	"0"	"""My perceptions."""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"6"	"""FALSE"""	"-1"
"248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 09 03:03:06 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 16 03:03:06 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2JQ8TNKIMZSMODLHO7FM6PG0ANYBY3"	"A10DZISB4YX5QC"	"Approved"	"Mon Dec 09 20:00:17 PST 2013"	"Mon Dec 09 03:18:19 PST 2013"	"Mon Dec 09 03:20:17 PST 2013"	"Mon Dec 09 03:21:37 PST 2013"	""	""	""	""	"""scarf"""	"-1"	"-1"	"6"	"2"	""":]"""	"1"	"""1"""	"""snowman"""	"7"	"0"	"""null"""	"-1"	"0"	"""How many effort he puts in the Snowman"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 09 03:03:06 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 16 03:03:06 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"28H36XBAT2D56J4N1KUQ6JGAOI340Q"	"A1J4MCCVJF9KFN"	"Approved"	"Mon Dec 09 20:02:08 PST 2013"	"Mon Dec 09 03:20:07 PST 2013"	"Mon Dec 09 03:22:08 PST 2013"	"Mon Dec 09 03:37:31 PST 2013"	""	""	""	""	"""scarf"""	"-1"	"-1"	"6"	"2"	"""scarf """	"1"	"""1"""	"""snowman"""	"4"	"0"	"""null"""	"-1"	"0"	"""snow men and communication"""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 09 03:03:06 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 16 03:03:06 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2K22SEIUUU007JQK699IY8S7PMNRRV"	"A3EE2YE81KLI5R"	"Approved"	"Mon Dec 09 20:02:10 PST 2013"	"Mon Dec 09 03:21:12 PST 2013"	"Mon Dec 09 03:22:10 PST 2013"	"Mon Dec 09 03:37:31 PST 2013"	""	""	""	""	"""hat"""	"-1"	"-1"	"4"	"2"	"""no"""	"1"	"""1"""	"""snowman"""	"6"	"0"	"""null"""	"-1"	"0"	"""language"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 09 03:03:06 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 16 03:03:06 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2PQQS1CSTMOFGKJS0N31KYDSS3WNQ2"	"A3SNBRADBZGEZT"	"Approved"	"Mon Dec 09 20:05:13 PST 2013"	"Mon Dec 09 03:23:45 PST 2013"	"Mon Dec 09 03:25:13 PST 2013"	"Mon Dec 09 03:37:50 PST 2013"	""	""	""	""	"""mittens"""	"-1"	"-1"	"6"	"2"	""""""	"1"	"""1"""	"""snowman"""	"5"	"0"	"""null"""	"-1"	"0"	"""Snowmen and mittens"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 09 03:03:06 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 16 03:03:06 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=248YN5F3Q0JGOM4MJHNYH49H458BFQ"	"2DO5XH0JPPSILD4ELQJPD5KQHQFGM2"	"A1YHCQ1BATS3BS"	"Approved"	"Mon Dec 09 20:07:43 PST 2013"	"Mon Dec 09 03:26:02 PST 2013"	"Mon Dec 09 03:27:43 PST 2013"	"Mon Dec 09 03:37:50 PST 2013"	""	""	""	""	"""mittens"""	"-1"	"-1"	"4"	"2"	""""""	"1"	"""1"""	"""snowman"""	"4"	"0"	"""null"""	"-1"	"0"	"""? word recognition"""	"0"	"""2"""	"1"	"0"	"""middle"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
