"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.item"	"Answer.target_property"	"Answer.logical_property"	"Answer.foil_property"	"Answer.target_position"	"Answer.logical_position"	"Answer.target_frequency"	"Answer.familiarization_cond"	"Answer.participant_response_type_condition"	"Answer.participant_feature_count_condition"	"Answer.linguistic_framing_condition"	"Answer.target_filler_sequence_condition"	"Answer.question_type_condition"	"Answer.manip_check_target"	"Answer.manip_check_dist"	"Answer.name_check_correct"	"Answer.choice"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"	"Answer.money_allocated_to_target"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_foil"	"Answer.Likert_value_target"	"Answer.Likert_value_logical"	"Answer.about"	"Answer.comment"	"Answer.age"	"Answer.gender"	"Answer.scale_and_levels_condition"	"Answer.familiarization_present_in_study"
"267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 19 13:37:56 PST 2014"	"120"	"0"	"0"	"101"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 26 13:37:56 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2APULRGNTBJ35FJX1KG7T62QT3TT7D"	"A14MW9YSAN6598"	"Approved"	"Thu Feb 20 06:19:47 PST 2014"	"Wed Feb 19 13:38:51 PST 2014"	"Wed Feb 19 13:39:47 PST 2014"	"Wed Feb 19 13:46:56 PST 2014"	""	""	""	""	"""boat"""	"""sail"""	"""cabin"""	"""motor"""	"""left"""	"""right"""	"0"	"-1"	"0"	"1"	"1"	"0"	"0"	"""3"""	"""1"""	"""TRUE"""	"""twin"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""what boat he talked about"""	"""no"""	"""22"""	"""m"""	"7"	"0"
"267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 19 13:37:56 PST 2014"	"120"	"0"	"0"	"101"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 26 13:37:56 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2MHWZ9RNDWIOEUY7OSUDZGU7FQXTEZ"	"A251IZWNCICC1Y"	"Approved"	"Thu Feb 20 06:20:11 PST 2014"	"Wed Feb 19 13:38:54 PST 2014"	"Wed Feb 19 13:40:11 PST 2014"	"Wed Feb 19 13:46:56 PST 2014"	""	""	""	""	"""pizza"""	"""mushrooms"""	"""peppers"""	"""olives"""	"""middle"""	"""left"""	"0"	"-1"	"0"	"1"	"1"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""twin"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""determining what was being talked about"""	"""i also like pizza"""	"""31"""	"""m"""	"7"	"0"
"267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 19 13:37:56 PST 2014"	"120"	"0"	"0"	"101"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 26 13:37:56 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2WBTUHYW2GTPSKG7OANM76944GZQL5"	"A27PVIL93ZMY46"	"Approved"	"Thu Feb 20 06:20:50 PST 2014"	"Wed Feb 19 13:39:42 PST 2014"	"Wed Feb 19 13:40:50 PST 2014"	"Wed Feb 19 13:46:56 PST 2014"	""	""	""	""	"""pizza"""	"""olives"""	"""peppers"""	"""mushrooms"""	"""middle"""	"""right"""	"0"	"-1"	"0"	"1"	"1"	"0"	"0"	"""3"""	"""1"""	"""TRUE"""	"""single"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Which pizza bob wants"""	"""NA"""	"""34"""	"""f"""	"7"	"0"
"267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 19 13:37:56 PST 2014"	"120"	"0"	"0"	"101"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 26 13:37:56 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"22KZVXX2Q45UDDWOULEI21NYKG38Q4"	"AQWQQ9VRSLSXH"	"Approved"	"Thu Feb 20 06:26:42 PST 2014"	"Wed Feb 19 13:45:33 PST 2014"	"Wed Feb 19 13:46:42 PST 2014"	"Wed Feb 19 14:10:21 PST 2014"	""	""	""	""	"""friend"""	"""hat"""	"""glasses"""	"""mustache"""	"""right"""	"""middle"""	"0"	"-1"	"0"	"1"	"1"	"0"	"0"	"""3"""	"""1"""	"""TRUE"""	"""twin"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob's friends?"""	"""I am confused."""	"""22"""	"""m"""	"7"	"0"
"267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 19 13:37:56 PST 2014"	"120"	"0"	"0"	"101"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 26 13:37:56 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"26CUDD8XMB3QM2507BLTU6TAQNFPET"	"AD1UK5JN3KVY1"	"Approved"	"Thu Feb 20 06:27:14 PST 2014"	"Wed Feb 19 13:46:08 PST 2014"	"Wed Feb 19 13:47:14 PST 2014"	"Wed Feb 19 14:10:14 PST 2014"	""	""	""	""	"""boat"""	"""motor"""	"""sail"""	"""cabin"""	"""left"""	"""right"""	"0"	"-1"	"0"	"1"	"1"	"0"	"0"	"""3"""	"""1"""	"""TRUE"""	"""twin"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Picking out the option Bob was talking about"""	"""I couldn't decide... """	"""22"""	"""m"""	"7"	"0"
"267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 19 13:37:56 PST 2014"	"120"	"0"	"0"	"101"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 26 13:37:56 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"28FJ92NJKM05UFPTQMPW8GTVLJYE9O"	"A2H5FQFR4C014A"	"Approved"	"Thu Feb 20 06:30:23 PST 2014"	"Wed Feb 19 13:49:51 PST 2014"	"Wed Feb 19 13:50:23 PST 2014"	"Wed Feb 19 14:10:21 PST 2014"	""	""	""	""	"""Christmas tree"""	"""star"""	"""ornaments"""	"""lights"""	"""right"""	"""middle"""	"0"	"-1"	"0"	"1"	"1"	"0"	"0"	"""2"""	"""3"""	"""TRUE"""	"""twin"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""How people interpret a statement"""	""""""	"""24"""	"""m"""	"6"	"0"
"267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 19 13:37:56 PST 2014"	"120"	"0"	"0"	"101"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 26 13:37:56 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2HWJ79KQW6186XCUTK3DA5XIQLALJC"	"A14SE9O51BB0RI"	"Approved"	"Thu Feb 20 06:30:58 PST 2014"	"Wed Feb 19 13:49:33 PST 2014"	"Wed Feb 19 13:50:58 PST 2014"	"Wed Feb 19 14:10:21 PST 2014"	""	""	""	""	"""sundae"""	"""chocolate"""	"""whipped cream"""	"""cherry"""	"""right"""	"""left"""	"0"	"-1"	"0"	"1"	"1"	"0"	"0"	"""3"""	"""1"""	"""TRUE"""	"""twin"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""sundaes"""	""""""	"""29"""	"""M"""	"7"	"0"
"267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 19 13:37:56 PST 2014"	"120"	"0"	"0"	"101"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 26 13:37:56 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2X4WYB49F9SSBA31XOFNYT5NH7WUQ7"	"AGU3P5LLHVI5X"	"Approved"	"Thu Feb 20 06:31:55 PST 2014"	"Wed Feb 19 13:51:11 PST 2014"	"Wed Feb 19 13:51:55 PST 2014"	"Wed Feb 19 14:10:21 PST 2014"	""	""	""	""	"""pizza"""	"""peppers"""	"""mushrooms"""	"""olives"""	"""left"""	"""middle"""	"0"	"-1"	"0"	"1"	"1"	"0"	"0"	"""3"""	"""1"""	"""TRUE"""	"""single"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Bob liking pizza"""	""""""	"""24"""	"""m"""	"7"	"0"
"267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 19 13:37:56 PST 2014"	"120"	"0"	"0"	"101"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 26 13:37:56 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"27VYOCCF0CP53QVTES9I3YGA1EVUTL"	"A12YW9ETZPJ6G5"	"Approved"	"Thu Feb 20 06:32:08 PST 2014"	"Wed Feb 19 13:51:05 PST 2014"	"Wed Feb 19 13:52:08 PST 2014"	"Wed Feb 19 14:10:22 PST 2014"	""	""	""	""	"""sundae"""	"""cherry"""	"""chocolate"""	"""whipped cream"""	"""middle"""	"""left"""	"0"	"-1"	"0"	"1"	"1"	"0"	"0"	"""2"""	"""1"""	"""TRUE"""	"""twin"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Ice cream"""	"""nice and short :) !"""	"""19"""	"""f"""	"6"	"0"
"267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Wed Feb 19 13:37:56 PST 2014"	"120"	"0"	"0"	"101"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Wed Feb 26 13:37:56 PST 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=267SI2KYEPLS80BKHRXWP3ODLW1NT3"	"2LDYHVI44OS23E089S5ZYBAVH3P4YX"	"A2SYRFPPV9WDEG"	"Approved"	"Thu Feb 20 06:32:18 PST 2014"	"Wed Feb 19 13:51:43 PST 2014"	"Wed Feb 19 13:52:18 PST 2014"	"Wed Feb 19 14:10:22 PST 2014"	""	""	""	""	"""Christmas tree"""	"""ornaments"""	"""star"""	"""lights"""	"""left"""	"""right"""	"0"	"-1"	"0"	"1"	"1"	"0"	"0"	"""3"""	"""1"""	"""TRUE"""	"""twin"""	"""FALSE"""	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"""Christmas trees"""	"""no"""	"""32"""	"""m"""	"7"	"0"
