"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.target_property"	"Answer.familiarization_cond"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_target"	"Answer.participant_response_type_condition"	"Answer.comment"	"Answer.linguistic_framing_condition"	"Answer.manip_check_dist"	"Answer.item"	"Answer.Likert_value_logical"	"Answer.question_type_condition"	"Answer.choice"	"Answer.money_allocated_to_target"	"Answer.target_frequency"	"Answer.about"	"Answer.familiarization_present_in_study"	"Answer.manip_check_target"	"Answer.participant_feature_count_condition"	"Answer.target_filler_sequence_condition"	"Answer.target_position"	"Answer.name_check_correct"	"Answer.Likert_value_foil"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"
"236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sat Dec 07 21:24:39 PST 2013"	"140"	"0"	"0"	"140"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sat Dec 14 21:24:39 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2UEN9U8P9Y38CP2XE8JU4IM5E5EWFF"	"A34DWBBWZRLO1X"	"Approved"	"Sun Dec 08 14:06:30 PST 2013"	"Sat Dec 07 21:25:34 PST 2013"	"Sat Dec 07 21:26:30 PST 2013"	"Sat Dec 07 21:30:46 PST 2013"	""	""	""	""	"""mittens"""	"-1"	"-1"	"-1"	"0"	""""""	"1"	"""1"""	"""snowman"""	"-1"	"0"	"""target"""	"-1"	"0"	"""snowmen"""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"
"236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sat Dec 07 21:24:39 PST 2013"	"140"	"0"	"0"	"140"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sat Dec 14 21:24:39 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"25ZWGKCCVLL3V393IM1PW4CEI2ZV5M"	"A2P5SSVSJRTOWW"	"Approved"	"Sun Dec 08 14:07:15 PST 2013"	"Sat Dec 07 21:26:34 PST 2013"	"Sat Dec 07 21:27:15 PST 2013"	"Sat Dec 07 21:30:46 PST 2013"	""	""	""	""	"""hat"""	"-1"	"-1"	"-1"	"0"	"""nothing in particular"""	"1"	"""1"""	"""snowman"""	"-1"	"0"	"""logical"""	"-1"	"0"	"""Perception of people"""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"
"236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sat Dec 07 21:24:39 PST 2013"	"140"	"0"	"0"	"140"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sat Dec 14 21:24:39 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"26UGTP9RA7S5FF7653JOL70OHTQRW6"	"A3QIG18VHBXBSZ"	"Approved"	"Sun Dec 08 14:07:33 PST 2013"	"Sat Dec 07 21:26:09 PST 2013"	"Sat Dec 07 21:27:33 PST 2013"	"Sat Dec 07 21:30:45 PST 2013"	""	""	""	""	"""hat"""	"-1"	"-1"	"-1"	"0"	"""none"""	"1"	"""1"""	"""snowman"""	"-1"	"0"	"""logical"""	"-1"	"0"	"""odd - who knows"""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"
"236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sat Dec 07 21:24:39 PST 2013"	"140"	"0"	"0"	"140"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sat Dec 14 21:24:39 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2IS6UFBNFSVGDEL35AJWCNG6A484IT"	"A3FGGLSILVSCA"	"Approved"	"Sun Dec 08 14:07:45 PST 2013"	"Sat Dec 07 21:26:13 PST 2013"	"Sat Dec 07 21:27:45 PST 2013"	"Sat Dec 07 21:30:45 PST 2013"	""	""	""	""	"""hat"""	"-1"	"-1"	"-1"	"0"	"""Amusing, thank you."""	"1"	"""1"""	"""snowman"""	"-1"	"0"	"""logical"""	"-1"	"0"	"""Hat"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"
"236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sat Dec 07 21:24:39 PST 2013"	"140"	"0"	"0"	"140"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sat Dec 14 21:24:39 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"24MU00OQKKA41BY8O7L2C80JRCHXX1"	"A1P7NKLDYCD5IU"	"Approved"	"Sun Dec 08 14:11:03 PST 2013"	"Sat Dec 07 21:29:43 PST 2013"	"Sat Dec 07 21:31:03 PST 2013"	"Sat Dec 07 22:00:03 PST 2013"	""	""	""	""	"""scarf"""	"-1"	"-1"	"-1"	"0"	""""""	"1"	"""1"""	"""snowman"""	"-1"	"0"	"""logical"""	"-1"	"0"	"""Bob's Snowmen"""	"0"	"""2"""	"1"	"0"	"""middle"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"
"236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sat Dec 07 21:24:39 PST 2013"	"140"	"0"	"0"	"140"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sat Dec 14 21:24:39 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2PC0COK2JE1MQIQK5QIWCOZF7CAMTO"	"A1FKCYWMD3HCXU"	"Approved"	"Sun Dec 08 14:15:39 PST 2013"	"Sat Dec 07 21:35:14 PST 2013"	"Sat Dec 07 21:35:39 PST 2013"	"Sat Dec 07 22:00:03 PST 2013"	""	""	""	""	"""mittens"""	"-1"	"-1"	"-1"	"0"	""""""	"1"	"""1"""	"""snowman"""	"-1"	"0"	"""logical"""	"-1"	"0"	"""interpret a word"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"
"236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sat Dec 07 21:24:39 PST 2013"	"140"	"0"	"0"	"140"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sat Dec 14 21:24:39 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2SY2NJQ2172ZS2WH2GBLIVEGPD9PX6"	"A22A0A73TE6P9E"	"Approved"	"Sun Dec 08 14:16:36 PST 2013"	"Sat Dec 07 21:34:23 PST 2013"	"Sat Dec 07 21:36:36 PST 2013"	"Sat Dec 07 22:00:04 PST 2013"	""	""	""	""	"""scarf"""	"-1"	"-1"	"-1"	"0"	"""i hope my input helps you"""	"1"	"""1"""	"""snowman"""	"-1"	"0"	"""target"""	"-1"	"0"	"""selecting snowmen with a hat and predicting which snowman he was talking about with the  \""word\"" scarf"""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"
"236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sat Dec 07 21:24:39 PST 2013"	"140"	"0"	"0"	"140"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sat Dec 14 21:24:39 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2JG9Z6KW4ZMAIANRNQ6Q6ONSQ3NF6Z"	"A23LQUKENPRHPM"	"Approved"	"Sun Dec 08 14:17:18 PST 2013"	"Sat Dec 07 21:35:30 PST 2013"	"Sat Dec 07 21:37:18 PST 2013"	"Sat Dec 07 22:00:03 PST 2013"	""	""	""	""	"""hat"""	"-1"	"-1"	"-1"	"0"	""""""	"1"	"""1"""	"""snowman"""	"-1"	"0"	"""target"""	"-1"	"0"	"""bob, who must surely be autistic (implied), trying to communicate with me about snowmen that he made"""	"0"	"""2"""	"1"	"0"	"""middle"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"
"236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sat Dec 07 21:24:39 PST 2013"	"140"	"0"	"0"	"140"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sat Dec 14 21:24:39 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2K49KSSZVXX29XBUQPHO4GNNRDT4MA"	"A12NE2TYEH25UI"	"Approved"	"Sun Dec 08 14:18:02 PST 2013"	"Sat Dec 07 21:37:03 PST 2013"	"Sat Dec 07 21:38:02 PST 2013"	"Sat Dec 07 22:00:02 PST 2013"	""	""	""	""	"""mittens"""	"-1"	"-1"	"-1"	"0"	""""""	"1"	"""1"""	"""snowman"""	"-1"	"0"	"""target"""	"-1"	"0"	"""Determining an item based on limited information"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"
"236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sat Dec 07 21:24:39 PST 2013"	"140"	"0"	"0"	"140"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sat Dec 14 21:24:39 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=236FXRDS4IC1XRJNTO6M71A4D4UYVO"	"2XLL0XULRGNTUC9MIIO5LP7S1EQ4QX"	"A3UEAWMRV5YQ6V"	"Approved"	"Sun Dec 08 14:18:13 PST 2013"	"Sat Dec 07 21:37:29 PST 2013"	"Sat Dec 07 21:38:13 PST 2013"	"Sat Dec 07 22:00:05 PST 2013"	""	""	""	""	"""mittens"""	"-1"	"-1"	"-1"	"0"	""""""	"1"	"""1"""	"""snowman"""	"-1"	"0"	"""target"""	"-1"	"0"	"""What the person talking about"""	"0"	"""2"""	"1"	"0"	"""left"""	"""FALSE"""	"-1"	"""TRUE"""	"-1"
