"cond","expt","matrix","prior","query","object","count","p","n","cil","cih","foil","logical","target"
"0.44","baserate","simple","0.44-baserate","glasses","logical",6,0.0882352941176471,68,0.031917080030165,0.163514641891754,0.134615384615385,0.461538461538462,0.403846153846154
"0.77","baserate","simple","0.77-baserate","glasses","logical",4,0.0533333333333333,75,0.0133422929160002,0.112397872837334,0.037037037037037,0.37037037037037,0.592592592592593
"0","complex","complex","0-complex","hat","logical",50,0.961538461538462,52,0.896337927311284,0.996897421830261,0.395061728395062,0.37037037037037,0.234567901234568
"1","complex","complex","0-complex","mustache","logical",11,0.189655172413793,58,0.0992588021695639,0.296429748915672,0.395061728395062,0.37037037037037,0.234567901234568
"2","complex","complex","0-complex","glasses","logical",25,0.403225806451613,62,0.285849088794854,0.525345403452077,0.395061728395062,0.37037037037037,0.234567901234568
"0","simple","simple","prior-prior","hat","logical",48,0.979591836734694,49,0.922947403296308,0.999961966442339,0.365168539325843,0.426966292134831,0.207865168539326
"1","simple","simple","prior-prior","glasses","logical",9,0.195652173913043,46,0.0943423672613376,0.317100629825791,0.365168539325843,0.426966292134831,0.207865168539326
"twin","twins","twins","prior-twins","hat","logical",20.5,0.445652173913043,46,0.307487045045081,0.587371836648437,0.544444444444445,0.227777777777778,0.227777777777778
"uniform","twins","twins","prior-twins","mustache","logical",18.5,0.308333333333333,60,0.198729004088965,0.427654893743864,0.544444444444445,0.227777777777778,0.227777777777778
"patch","oddman","oddman","prior-oddman","glasses","logical",38,0.408602150537634,93,0.311493975217463,0.508723499709037,0.4,0.311111111111111,0.288888888888889
"word","oddman","oddman","prior-oddman","glasses","logical",34,0.382022471910112,89,0.284478858345451,0.483627998770905,0.4,0.311111111111111,0.288888888888889
"foil","color","simple","foil-color","glasses","target",39,0.829787234042553,47,0.714699429396725,0.923428813113716,0.4,0.5,0.1
"logical","color","simple","logical-color","glasses","target",26,0.541666666666667,48,0.402875305109002,0.677842648442931,0.148148148148148,0.555555555555556,0.296296296296296
"none","color","simple","prior-prior","glasses","target",30,0.789473684210526,38,0.652713086400107,0.903211275764544,0.365168539325843,0.426966292134831,0.207865168539326
"target","color","simple","target-color","glasses","target",39,0.847826086956522,46,0.735548686312952,0.936922059755903,0.216216216216216,0.351351351351351,0.432432432432432
"favorite","lang","simple","favorite-lang","glasses","target",93,0.528409090909091,176,0.45491406516759,0.60140505551631,0.087378640776699,0.699029126213592,0.213592233009709
"least","lang","simple","least-lang","glasses","target",68,0.790697674418605,86,0.700830021658064,0.870166719423344,0.781512605042017,0.142857142857143,0.0756302521008403
"0.11","baserate","simple","0.11-baserate","glasses","target",54,0.75,72,0.646426434067955,0.842944840154049,0.0535714285714286,0.75,0.196428571428571
"0.33","baserate","simple","0.33-baserate","glasses","target",51,0.80952380952381,63,0.70707160030733,0.896916231937255,0.0666666666666667,0.533333333333333,0.4
"0.44","baserate","simple","0.44-baserate","glasses","target",60,0.882352941176471,68,0.798737944887376,0.948527888258358,0.134615384615385,0.461538461538462,0.403846153846154
"0.77","baserate","simple","0.77-baserate","glasses","target",70,0.933333333333333,75,0.869093740892667,0.979285200394509,0.037037037037037,0.37037037037037,0.592592592592593
"0","complex","complex","0-complex","hat","target",2,0.0384615384615385,52,0.00310257816973939,0.103662072688716,0.395061728395062,0.37037037037037,0.234567901234568
"1","complex","complex","0-complex","mustache","target",3,0.0517241379310345,58,0.00912335897362436,0.11937156768011,0.395061728395062,0.37037037037037,0.234567901234568
"2","complex","complex","0-complex","glasses","target",33,0.532258064516129,62,0.409650108925198,0.653285853364369,0.395061728395062,0.37037037037037,0.234567901234568
"0","simple","simple","prior-prior","hat","target",1,0.0204081632653061,49,3.80335576614601e-05,0.0770525967036922,0.365168539325843,0.426966292134831,0.207865168539326
"1","simple","simple","prior-prior","glasses","target",37,0.804347826086957,46,0.682899370174209,0.905657632738663,0.365168539325843,0.426966292134831,0.207865168539326
"twin","twins","twins","prior-twins","hat","target",20.5,0.445652173913043,46,0.307487045045081,0.587371836648437,0.544444444444445,0.227777777777778,0.227777777777778
"uniform","twins","twins","prior-twins","mustache","target",18.5,0.308333333333333,60,0.198729004088965,0.427654893743864,0.544444444444445,0.227777777777778,0.227777777777778
"patch","oddman","oddman","prior-oddman","glasses","target",7,0.0752688172043011,93,0.0298322224054412,0.135053806137833,0.4,0.311111111111111,0.288888888888889
"word","oddman","oddman","prior-oddman","glasses","target",15,0.168539325842697,89,0.0977132754491688,0.250859004329517,0.4,0.311111111111111,0.288888888888889
