"","cond","expt","matrix","prior","query","object","count","p","n","cil","cih","priorType","priorValue","grouper","speaker.p","preds","tuningData","depth","low","hi","ci_low","ci_hi"
"1","0.33","baserate","simple","prior","glasses","foil",1,0.0158730158730159,63,2.85110845628313e-05,0.0603906613722844,"foil",0.0526315789473684,"baserate-63",0,0,"keep",0,0,0,0,0
"2","0.33","baserate","simple","prior","glasses","logical",11,0.174603174603175,63,0.0908006564595695,0.27426365285653,"logical",0.543859649122807,"baserate-63",0.5,0.5,"keep",0,0,0,0.5,0.5
"3","0.33","baserate","simple","prior","glasses","target",51,0.80952380952381,63,0.70707160030733,0.896916231937255,"target",0.403508771929825,"baserate-63",0.5,0.5,"keep",0,0,0,0.5,0.5
"4","0.44","baserate","simple","prior","glasses","foil",2,0.0294117647058824,68,0.00232502360660842,0.0799697548438146,"foil",0.122448979591837,"baserate-68",0,0,"keep",0,0,0,0,0
"5","0.44","baserate","simple","prior","glasses","logical",6,0.0882352941176471,68,0.031917080030165,0.163514641891754,"logical",0.469387755102041,"baserate-68",0.5,0.5,"keep",0,0,0,0.5,0.5
"6","0.44","baserate","simple","prior","glasses","target",60,0.882352941176471,68,0.798737944887376,0.948527888258358,"target",0.408163265306122,"baserate-68",0.5,0.5,"keep",0,0,0,0.5,0.5
"7","0.11","baserate","simple","prior","glasses","foil",6,0.0833333333333333,72,0.0300468445274259,0.154773559188882,"foil",0.0377358490566038,"baserate-72",0,0,"keep",0,0,0,0,0
"8","0.11","baserate","simple","prior","glasses","logical",12,0.166666666666667,72,0.0893487815930055,0.258238429075166,"logical",0.773584905660377,"baserate-72",0.5,0.5,"keep",0,0,0,0.5,0.5
"9","0.11","baserate","simple","prior","glasses","target",54,0.75,72,0.646426434067955,0.842944840154049,"target",0.188679245283019,"baserate-72",0.5,0.5,"keep",0,0,0,0.5,0.5
"10","0.77","baserate","simple","prior","glasses","foil",1,0.0133333333333333,75,2.34607327908825e-05,0.0509465479373625,"foil",0.0196078431372549,"baserate-75",0,0,"keep",0,0,0,0,0
"11","0.77","baserate","simple","prior","glasses","logical",4,0.0533333333333333,75,0.0133422929160002,0.112397872837334,"logical",0.372549019607843,"baserate-75",0.5,0.5,"keep",0,0,0,0.5,0.5
