"foil","logical","target","prior"
64,75,36,"prior-prior"
11,14,2,"foil-color"
3,14,7,"logical-color"
7,12,15,"target-color"
8,71,21,"favorite-lang"
92,16,8,"least-lang"
2,41,10,"0.11-baserate"
3,31,23,"0.33-baserate"
6,23,20,"0.44-baserate"
1,19,31,"0.77-baserate"
31,29,18,"0-complex"
48,19.5,19.5,"prior-twins"
35,27,25,"prior-oddman"
