cor,depth,alpha
0.735736909416747,0,0
0.735736909416747,0,0.1
0.735736909416747,0,0.2
0.735736909416747,0,0.3
0.735736909416747,0,0.4
0.735736909416747,0,0.5
0.735736909416747,0,0.6
0.735736909416747,0,0.7
0.735736909416747,0,0.8
0.735736909416747,0,0.9
0.735736909416747,0,1
0.735736909416747,0,1.1
0.735736909416747,0,1.2
0.735736909416747,0,1.3
0.735736909416747,0,1.4
0.735736909416747,0,1.5
0.735736909416747,0,1.6
0.735736909416747,0,1.7
0.735736909416747,0,1.8
0.735736909416747,0,1.9
0.735736909416747,0,2
0.735736909416747,0,2.1
0.735736909416747,0,2.2
0.735736909416747,0,2.3
0.735736909416747,0,2.4
0.735736909416747,0,2.5
0.735736909416747,0,2.6
0.735736909416747,0,2.7
0.735736909416747,0,2.8
0.735736909416747,0,2.9
0.735736909416747,0,3
0.735736909416747,0,3.1
0.735736909416747,0,3.2
0.735736909416747,0,3.3
0.735736909416747,0,3.4
0.735736909416747,0,3.5
0.735736909416747,0,3.6
0.735736909416747,0,3.7
0.735736909416747,0,3.8
0.735736909416747,0,3.9
0.735736909416747,0,4
0.735736909416747,0,4.1
0.735736909416747,0,4.2
0.735736909416747,0,4.3
0.735736909416747,0,4.4
0.735736909416747,0,4.5
0.735736909416747,0,4.6
0.735736909416747,0,4.7
0.735736909416747,0,4.8
0.735736909416747,0,4.9
0.735736909416747,0,5
0.945303007155871,1,3.1
0.945260360879851,1,3.2
0.945134476117101,1,3
0.945032878391997,1,3.3
0.944726922567183,1,2.9
0.944645248253235,1,3.4
0.944120415362897,1,3.5
0.944051212029442,1,2.8
0.943479538122394,1,3.6
0.943077210359459,1,2.7
0.942741985249259,1,3.7
0.941925364299251,1,3.8
0.941774155224923,1,2.6
0.941045574803379,1,3.9
0.940116879842084,1,4
0.940111114218319,1,2.5
0.939151990793587,1,4.1
0.938162160861981,1,4.2
0.938057530997886,1,2.4
0.937157283785133,1,4.3
0.936145994828416,1,4.4
0.935583856351439,1,2.3
0.935135771782946,1,4.5
0.934133034208359,1,4.6
0.933143239596496,1,4.7
0.932662255492286,1,2.2
0.932170975492081,1,4.8
0.931220046899312,1,4.9
0.93029355853857,1,5
0.929267376420646,1,2.1
0.925377157188953,1,2
0.920973642953383,1,1.9
0.916043777501826,1,1.8
0.910580129352242,1,1.7
0.904581510355073,1,1.6
0.898053445725627,1,1.5
0.891008459025466,1,1.4
0.883466143857545,1,1.3
0.875453005512835,1,1.2
0.867002069601097,1,1.1
0.85815226951722,1,1
0.848947638917867,1,0.9
0.839436347696599,1,0.8
0.829669628975128,1,0.7
0.819700649534624,1,0.6
0.809583376602526,1,0.5
0.799371490254579,1,0.4
0.789117383628349,1,0.3
0.77887128372846,1,0.2
0.768680515017136,1,0.1
0.758588917355498,1,0
0.952222860370109,2,1.4
0.952169446094423,2,1.5
0.950472456085653,2,1.6
0.950153214117052,2,1.3
0.947637877649847,2,1.7
0.945575753508176,2,1.2
0.944139441432076,2,1.8
0.940378219238541,2,1.9
0.93826322473171,2,1.1
0.936662583755809,2,2
0.93320555530302,2,2.1
0.930134280282222,2,2.2
0.928186685692139,2,1
0.927506197071284,2,2.3
0.925327383170553,2,2.4
0.92356992245862,2,2.5
0.922186471736434,2,2.6
0.921121318898982,2,2.7
0.920318006616778,2,2.8
0.919724038068197,2,2.9
0.919293349105477,2,3
0.918987218452989,2,3.1
0.918774181892307,2,3.2
0.918629380891374,2,3.3
0.918533647180709,2,3.4
0.918472518535277,2,3.5
0.918438735078609,2,5
0.918436034633963,2,4.9
0.918435301271089,2,3.6
0.918432983868212,2,4.8
0.918429556330371,2,4.7
0.918425738822031,2,4.6
0.918421543746309,2,4.5
0.918417028685047,2,4.4
0.918414239278217,2,3.7
0.918412326612307,2,4.3
0.918407691430497,2,4.2
0.918403813023758,2,3.8
0.918403565122228,2,4.1
0.918400674758043,2,4
0.918400169854074,2,3.9
0.915522808873212,2,0.9
0.90062608167889,2,0.8
0.883974749372203,2,0.7
0.866105577986346,2,0.6
0.847552569178,2,0.5
0.828800029535908,2,0.4
0.81025402507562,2,0.3
0.792230984476618,2,0.2
0.774959285012353,2,0.1
0.758588917355498,2,0
0.952739415316604,3,1.1
0.952732993634728,3,1.2
0.948576176955331,3,1.3
0.947265243097392,3,1
0.94219977030551,3,1.4
0.936032059761829,3,0.9
0.935464597744899,3,1.5
0.929642258649216,3,1.6
0.925269606663966,3,1.7
0.92232444564417,3,1.8
0.920509756613277,3,1.9
0.91980779049243,3,0.8
0.919474801079298,3,2
0.91892564535807,3,2.1
0.918654743472354,3,2.2
0.918531377042512,3,2.3
0.91848038580181,3,2.4
0.918461989032115,3,2.5
0.91845897582233,3,5
0.918458975822295,3,4.9
0.918458975822189,3,4.8
0.918458975821885,3,4.7
0.91845897582103,3,4.6
0.91845897581868,3,4.5
0.918458975812387,3,4.4
0.918458975795961,3,4.3
0.91845897575418,3,4.2
0.918458975650654,3,4.1
0.918458975400886,3,4
0.91845897481436,3,3.9
0.918458973474295,3,3.8
0.918458970496536,3,3.7
0.91845896406354,3,3.6
0.91845895055789,3,3.5
0.918458923019648,3,3.4
0.918458868547837,3,3.3
0.918458764294574,3,3.2
0.918458572378256,3,3.1
0.918458236998695,3,3
0.918457696612411,3,2.9
0.918456949929669,3,2.8
0.918456818161105,3,2.6
0.918456274619817,3,2.7
0.900016502038595,3,0.7
0.878240515510816,3,0.6
0.855853993861934,3,0.5
0.833862611413721,3,0.4
0.812900509386829,3,0.3
0.793303724920029,3,0.2
0.775200452582463,3,0.1
0.758588917355498,3,0
0.952371091371806,4,1
0.951942995044289,4,1.1
0.944701309109277,4,1.2
0.943857156414101,4,0.9
0.935116362151935,4,1.3
0.927418797576238,4,0.8
0.927159076610729,4,1.4
0.922270765169107,4,1.5
0.919880125326864,4,1.6
0.91890968669372,4,1.7
0.918578042414464,4,1.8
0.918483793850178,4,1.9
0.91846248431601,4,2
0.918459067044847,4,2.1
0.918458975822348,4,3.3
0.918458975822348,4,3.4
0.918458975822348,4,3.5
0.918458975822348,4,3.6
0.918458975822348,4,3.7
0.918458975822348,4,3.8
0.918458975822348,4,3.9
0.918458975822348,4,4
0.918458975822348,4,4.1
0.918458975822348,4,4.2
0.918458975822348,4,4.3
0.918458975822348,4,4.4
0.918458975822348,4,4.5
0.918458975822348,4,4.6
0.918458975822348,4,4.7
0.918458975822348,4,4.8
0.918458975822348,4,4.9
0.918458975822348,4,5
0.918458975822348,4,3.2
0.918458975822345,4,3.1
0.918458975822312,4,3
0.918458975821877,4,2.9
0.918458975817224,4,2.8
0.918458975776113,4,2.7
0.91845897547376,4,2.6
0.918458973618011,4,2.5
0.918458964249589,4,2.4
0.918458927961593,4,2.3
0.918458849596735,4,2.2
0.905845605636067,4,0.7
0.881992609232895,4,0.6
0.857922876762206,4,0.5
0.834827437422246,4,0.4
0.813260703996365,4,0.3
0.793396468663768,4,0.2
0.775210417853215,4,0.1
0.758588917355498,4,0
0.952891647938454,5,1
0.947247008857582,5,0.9
0.946828721938415,5,1.1
0.934856705604356,5,1.2
0.930853964446571,5,0.8
0.925114815805553,5,1.3
0.920405052689354,5,1.4
0.918876064832494,5,1.5
0.918522480534908,5,1.6
0.918465129527602,5,1.7
0.91845925455544,5,1.8
0.918458975822348,5,2.5
0.918458975822348,5,2.6
0.918458975822348,5,2.7
0.918458975822348,5,2.8
0.918458975822348,5,2.9
0.918458975822348,5,3
0.918458975822348,5,3.1
0.918458975822348,5,3.2
0.918458975822348,5,3.3
0.918458975822348,5,3.4
0.918458975822348,5,3.5
0.918458975822348,5,3.6
0.918458975822348,5,3.7
0.918458975822348,5,3.8
0.918458975822348,5,3.9
0.918458975822348,5,4
0.918458975822348,5,4.1
0.918458975822348,5,4.2
0.918458975822348,5,4.3
0.918458975822348,5,4.4
0.918458975822348,5,4.5
0.918458975822348,5,4.6
0.918458975822348,5,4.7
0.918458975822348,5,4.8
