"cond","expt","matrix","prior","query","object","count","p","n","cil","cih","foil","logical","target","model","prediction"
"foil","color","simple","prior","glasses","foil",2,0.0425531914893617,47,0.00346428479986783,0.114236215458185,0.407407407407407,0.518518518518518,0.0740740740740741,"L0",0
"logical","color","simple","prior","glasses","foil",3,0.0625,48,0.0111820820907555,0.143133885132119,0.125,0.583333333333333,0.291666666666667,"L0",0
"none","color","simple","prior","glasses","foil",1,0.0263157894736842,38,5.14612055539293e-05,0.0983727358771635,0.365714285714286,0.428571428571429,0.205714285714286,"L0",0
"target","color","simple","prior","glasses","foil",1,0.0217391304347826,46,4.0955216577707e-05,0.081893655974384,0.205882352941176,0.352941176470588,0.441176470588235,"L0",0
"favorite","lang","simple","prior","glasses","foil",0,0,176,0,0.0108385653707431,0.08,0.71,0.21,"L0",0
"least","lang","simple","prior","glasses","foil",6,0.0697674418604651,86,0.0249327173623007,0.130374142727258,0.793103448275862,0.137931034482759,0.0689655172413793,"L0",0
"0.11","baserate","simple","prior","glasses","foil",6,0.0833333333333333,72,0.0300468445274259,0.154773559188882,0.0377358490566038,0.773584905660377,0.188679245283019,"L0",0
"0.33","baserate","simple","prior","glasses","foil",1,0.0158730158730159,63,2.85110845628313e-05,0.0603906613722844,0.0526315789473684,0.543859649122807,0.403508771929825,"L0",0
"0.44","baserate","simple","prior","glasses","foil",2,0.0294117647058824,68,0.00232502360660842,0.0799697548438146,0.122448979591837,0.469387755102041,0.408163265306122,"L0",0
"0.77","baserate","simple","prior","glasses","foil",1,0.0133333333333333,75,2.34607327908825e-05,0.0509465479373625,0.0196078431372549,0.372549019607843,0.607843137254902,"L0",0
"0","complex","complex","prior","hat","foil",0,0,52,0,0.0360919878459957,0.397435897435897,0.371794871794872,0.230769230769231,"L0",0
"1","complex","complex","prior","mustache","foil",44,0.758620689655172,58,0.644104873861914,0.859543892252255,0.397435897435897,0.371794871794872,0.230769230769231,"L0",0.5
"2","complex","complex","prior","glasses","foil",4,0.0645161290322581,62,0.0163140688028883,0.135078336330298,0.397435897435897,0.371794871794872,0.230769230769231,"L0",0
"0","simple","simple","prior","hat","foil",0,0,49,0,0.0382477868927334,0.365714285714286,0.428571428571429,0.205714285714286,"L0",0
"1","simple","simple","prior","glasses","foil",0,0,46,0,0.0406774312230883,0.365714285714286,0.428571428571429,0.205714285714286,"L0",0
"twin","twins","twins","prior","hat","foil",5,0.108695652173913,46,0.034896058448651,0.208927155844989,0.551724137931034,0.224137931034483,0.224137931034483,"L0",0
"uniform","twins","twins","prior","mustache","foil",23,0.383333333333333,60,0.26572311123582,0.506848269182228,0.551724137931034,0.224137931034483,0.224137931034483,"L0",0.333333333333333
"patch","oddman","oddman","prior","glasses","foil",48,0.516129032258065,93,0.415602106641984,0.616124387468064,0.402298850574713,0.310344827586207,0.28735632183908,"L0",0.5
"word","oddman","oddman","prior","glasses","foil",40,0.449438202247191,89,0.34835245691022,0.55226394283585,0.402298850574713,0.310344827586207,0.28735632183908,"L0",0.5
"foil","color","simple","prior","glasses","logical",6,0.127659574468085,47,0.0474015602761976,0.232364835821588,0.407407407407407,0.518518518518518,0.0740740740740741,"L0",0.5
"logical","color","simple","prior","glasses","logical",19,0.395833333333333,48,0.264193731136893,0.534016169607373,0.125,0.583333333333333,0.291666666666667,"L0",0.5
