"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.target_property"	"Answer.familiarization_cond"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_target"	"Answer.participant_response_type_condition"	"Answer.comment"	"Answer.linguistic_framing_condition"	"Answer.manip_check_dist"	"Answer.item"	"Answer.Likert_value_logical"	"Answer.question_type_condition"	"Answer.choice"	"Answer.money_allocated_to_target"	"Answer.target_frequency"	"Answer.about"	"Answer.familiarization_present_in_study"	"Answer.manip_check_target"	"Answer.participant_feature_count_condition"	"Answer.target_filler_sequence_condition"	"Answer.target_position"	"Answer.name_check_correct"	"Answer.Likert_value_foil"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"
"2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 08 16:12:22 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 15 16:12:22 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2Y9OVR14IXKOLEF2DJ3WG6X8T4O890"	"A147F5PJTHOB8A"	"Approved"	"Mon Dec 09 08:54:16 PST 2013"	"Sun Dec 08 16:13:05 PST 2013"	"Sun Dec 08 16:14:16 PST 2013"	"Sun Dec 08 16:24:04 PST 2013"	""	""	""	""	"""cherry"""	"-1"	"-1"	"-1"	"0"	""""""	"1"	"""1"""	"""sundae"""	"-1"	"0"	"""target"""	"-1"	"0"	"""Bob really likes sundeas! """	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"
"2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 08 16:12:22 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 15 16:12:22 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"24QT3DHJHP4BW6QG03ZRYX92YWF2V7"	"A5H3VG51HHL0S"	"Approved"	"Mon Dec 09 08:54:50 PST 2013"	"Sun Dec 08 16:13:19 PST 2013"	"Sun Dec 08 16:14:50 PST 2013"	"Sun Dec 08 16:24:03 PST 2013"	""	""	""	""	"""whipped cream"""	"-1"	"-1"	"-1"	"0"	"""No."""	"1"	"""1"""	"""sundae"""	"-1"	"0"	"""target"""	"-1"	"0"	"""Bob and his ice cream preference."""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"
"2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 08 16:12:22 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 15 16:12:22 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2AJYNJ92NJKMJYHMFYLH4W2LO5L7CT"	"A1JUKBY3NQH74W"	"Approved"	"Mon Dec 09 08:57:28 PST 2013"	"Sun Dec 08 16:16:28 PST 2013"	"Sun Dec 08 16:17:28 PST 2013"	"Sun Dec 08 16:24:03 PST 2013"	""	""	""	""	"""chocolate"""	"-1"	"-1"	"-1"	"0"	""""""	"1"	"""1"""	"""sundae"""	"-1"	"0"	"""target"""	"-1"	"0"	"""Sundaes"""	"0"	"""2"""	"1"	"0"	"""middle"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"
"2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 08 16:12:22 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 15 16:12:22 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2RAT3HVWAVKIPVTJM7S78Z9ELXIFNN"	"ANNODIFIJWYJ7"	"Approved"	"Mon Dec 09 09:00:22 PST 2013"	"Sun Dec 08 16:18:38 PST 2013"	"Sun Dec 08 16:20:22 PST 2013"	"Sun Dec 08 16:24:03 PST 2013"	""	""	""	""	"""chocolate"""	"-1"	"-1"	"-1"	"0"	""""""	"1"	"""1"""	"""sundae"""	"-1"	"0"	"""target"""	"-1"	"0"	"""Bob's sundaes and the word chocolate"""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"
"2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 08 16:12:22 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 15 16:12:22 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"27MLRGNTBJ3M5635BUYNC2KM6PZU8E"	"A3SNYAJ8KSW3U"	"Approved"	"Mon Dec 09 09:00:38 PST 2013"	"Sun Dec 08 16:19:59 PST 2013"	"Sun Dec 08 16:20:38 PST 2013"	"Sun Dec 08 16:24:04 PST 2013"	""	""	""	""	"""cherry"""	"-1"	"-1"	"-1"	"0"	"""Thank you"""	"1"	"""1"""	"""sundae"""	"-1"	"0"	"""target"""	"-1"	"0"	"""Sundaes"""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"
"2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 08 16:12:22 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 15 16:12:22 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2JKKMT6YTWX40WN2LGVDF9GN1YXV0I"	"A1XJ3038CPMHX"	"Approved"	"Mon Dec 09 09:07:12 PST 2013"	"Sun Dec 08 16:26:34 PST 2013"	"Sun Dec 08 16:27:12 PST 2013"	"Sun Dec 08 16:34:49 PST 2013"	""	""	""	""	"""chocolate"""	"-1"	"-1"	"-1"	"0"	"""No"""	"1"	"""1"""	"""sundae"""	"-1"	"0"	"""target"""	"-1"	"0"	"""Understanding communications"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"-1"	"""TRUE"""	"-1"
"2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 08 16:12:22 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 15 16:12:22 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"25EEC1PC6SK9ACE5K49ZKHMF5510OM"	"A1PV8FC3TVZ4Y4"	"Approved"	"Mon Dec 09 09:07:22 PST 2013"	"Sun Dec 08 16:26:53 PST 2013"	"Sun Dec 08 16:27:22 PST 2013"	"Sun Dec 08 16:34:50 PST 2013"	""	""	""	""	"""whipped cream"""	"-1"	"-1"	"-1"	"0"	""""""	"1"	"""1"""	"""sundae"""	"-1"	"0"	"""logical"""	"-1"	"0"	"""Odds"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"
"2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 08 16:12:22 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 15 16:12:22 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2A9FL42J1LY5R4D23RRIMFKM8HL3OK"	"AU0NZI2T3R792"	"Approved"	"Mon Dec 09 09:08:18 PST 2013"	"Sun Dec 08 16:27:04 PST 2013"	"Sun Dec 08 16:28:18 PST 2013"	"Sun Dec 08 16:34:50 PST 2013"	""	""	""	""	"""chocolate"""	"-1"	"-1"	"-1"	"0"	"""None"""	"1"	"""1"""	"""sundae"""	"-1"	"0"	"""logical"""	"-1"	"0"	"""Consumer choices"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"
"2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 08 16:12:22 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 15 16:12:22 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2C2OO2GMMEGO79WS8RXIGA2X9Y988E"	"AVV4KDLSDAS9E"	"Approved"	"Mon Dec 09 09:08:52 PST 2013"	"Sun Dec 08 16:26:18 PST 2013"	"Sun Dec 08 16:28:52 PST 2013"	"Sun Dec 08 16:34:49 PST 2013"	""	""	""	""	"""whipped cream"""	"-1"	"-1"	"-1"	"0"	""""""	"1"	"""1"""	"""sundae"""	"-1"	"0"	"""logical"""	"-1"	"0"	"""How we interpret language when confronted with imprecise information"""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"
"2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 08 16:12:22 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 15 16:12:22 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2EKQ45UUKQOYZGOWXSJ8UG03VIXVDQ"	"2PD6VCPWZ9RNWPOOR6J7YN3IOWCPAM"	"A2YGDRUGP21GME"	"Approved"	"Mon Dec 09 09:22:46 PST 2013"	"Sun Dec 08 16:41:52 PST 2013"	"Sun Dec 08 16:42:46 PST 2013"	"Sun Dec 08 16:59:33 PST 2013"	""	""	""	""	"""cherry"""	"-1"	"-1"	"-1"	"0"	""""""	"1"	"""1"""	"""sundae"""	"-1"	"0"	"""target"""	"-1"	"0"	"""sundae"""	"0"	"""2"""	"1"	"0"	"""left"""	"""FALSE"""	"-1"	"""TRUE"""	"-1"
