"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.target_property"	"Answer.choice"	"Answer.familiarization_cond"	"Answer.money_allocated_to_target"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_target"	"Answer.target_frequency"	"Answer.about"	"Answer.familiarization_present_in_study"	"Answer.participant_response_type_condition"	"Answer.manip_check_target"	"Answer.participant_feature_count_condition"	"Answer.target_filler_sequence_condition"	"Answer.comment"	"Answer.linguistic_framing_condition"	"Answer.manip_check_dist"	"Answer.item"	"Answer.target_position"	"Answer.name_check_correct"	"Answer.Likert_value_foil"	"Answer.choice_correct"	"Answer.Likert_value_logical"	"Answer.money_allocated_to_foil"	"Answer.question_type_condition"
"2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 14:37:28 PST 2013"	"49"	"0"	"0"	"49"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 14:37:28 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2GAAA2SEIUUUJTUQGP14OISDLV4PPI"	"A3RO17UKZ723P8"	"Approved"	"Mon Dec 02 07:20:21 PST 2013"	"Sun Dec 01 14:39:34 PST 2013"	"Sun Dec 01 14:40:21 PST 2013"	"Sun Dec 01 14:47:11 PST 2013"	""	""	""	""	"""glasses"""	"""null"""	"-1"	"34"	"33"	"-1"	"0"	"""whos bob friend was"""	"0"	"1"	"""1"""	"1"	"0"	""""""	"1"	"""1"""	"""friend"""	"""right"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"33"	"0"
"2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 14:37:28 PST 2013"	"49"	"0"	"0"	"49"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 14:37:28 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2T9STLB3L0FB22OO7O5JXEVJYKZVJ9"	"A1CNF7S1U26GKW"	"Approved"	"Mon Dec 02 07:20:54 PST 2013"	"Sun Dec 01 14:40:27 PST 2013"	"Sun Dec 01 14:40:54 PST 2013"	"Sun Dec 01 14:47:10 PST 2013"	""	""	""	""	"""mustache"""	"""null"""	"-1"	"40"	"40"	"-1"	"0"	"""whos bob best friend is"""	"0"	"1"	"""2"""	"1"	"0"	""""""	"1"	"""1"""	"""friend"""	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"20"	"0"
"2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 14:37:28 PST 2013"	"49"	"0"	"0"	"49"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 14:37:28 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"20AHPCGJ2D217W25TMRJVPSNVD84AQ"	"A38EHOL0U2BTV0"	"Approved"	"Mon Dec 02 07:21:09 PST 2013"	"Sun Dec 01 14:37:46 PST 2013"	"Sun Dec 01 14:41:09 PST 2013"	"Sun Dec 01 14:47:10 PST 2013"	""	""	""	""	"""glasses"""	"""null"""	"-1"	"100"	"0"	"-1"	"0"	"""How people describe other people based on a small description"""	"0"	"1"	"""2"""	"1"	"0"	""""""	"1"	"""1"""	"""friend"""	"""right"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"0"	"0"
"2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 14:37:28 PST 2013"	"49"	"0"	"0"	"49"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 14:37:28 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2CB1LY58B7275TOGBP8D76YKLOQ8TN"	"A2DZAKIE1THA2I"	"Approved"	"Mon Dec 02 07:21:20 PST 2013"	"Sun Dec 01 14:41:02 PST 2013"	"Sun Dec 01 14:41:20 PST 2013"	"Sun Dec 01 14:47:11 PST 2013"	""	""	""	""	"""glasses"""	"""null"""	"-1"	"40"	"40"	"-1"	"0"	"""whos best friend is"""	"0"	"1"	"""2"""	"1"	"0"	""""""	"1"	"""1"""	"""friend"""	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"20"	"0"
"2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 14:37:28 PST 2013"	"49"	"0"	"0"	"49"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 14:37:28 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2SY2NJQ2172ZS2WH2GBLIVEGNUDXPE"	"A2A27TLFWKDXUW"	"Approved"	"Mon Dec 02 07:22:00 PST 2013"	"Sun Dec 01 14:40:04 PST 2013"	"Sun Dec 01 14:42:00 PST 2013"	"Sun Dec 01 14:47:11 PST 2013"	""	""	""	""	"""glasses"""	"""null"""	"-1"	"35"	"35"	"-1"	"0"	"""It asks us to distribute money guesses what friend Bob is talking about (I don't know what the objective of the study is))."""	"0"	"1"	"""2"""	"1"	"0"	"""no"""	"1"	"""1"""	"""friend"""	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"30"	"0"
"2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 14:37:28 PST 2013"	"49"	"0"	"0"	"49"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 14:37:28 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2RQW2GTP9RA7BY2MXB0YYOFCTCYPUG"	"A16N0O4K5DGOL6"	"Approved"	"Mon Dec 02 07:33:44 PST 2013"	"Sun Dec 01 14:52:17 PST 2013"	"Sun Dec 01 14:53:44 PST 2013"	"Sun Dec 01 15:07:41 PST 2013"	""	""	""	""	"""hat"""	"""null"""	"-1"	"90"	"10"	"-1"	"0"	"""Identifying who he is referring to when he says \""hat\"""""	"0"	"1"	"""2"""	"1"	"0"	""""""	"1"	"""1"""	"""friend"""	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"0"	"0"
"2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 14:37:28 PST 2013"	"49"	"0"	"0"	"49"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 14:37:28 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2MFHMVHVKCJ0KUQ239A7FKQ1ZUL645"	"A1O9LWBFR6TOEP"	"Approved"	"Mon Dec 02 07:39:04 PST 2013"	"Sun Dec 01 14:56:38 PST 2013"	"Sun Dec 01 14:59:04 PST 2013"	"Sun Dec 01 15:07:40 PST 2013"	""	""	""	""	"""hat"""	"""null"""	"-1"	"40"	"40"	"-1"	"0"	"""Predictions"""	"0"	"1"	"""2"""	"1"	"0"	"""n/a"""	"1"	"""1"""	"""friend"""	"""middle"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"20"	"0"
"2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 14:37:28 PST 2013"	"49"	"0"	"0"	"49"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 14:37:28 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2DN0FK0COK2JXUS7LPB9RRWBHSMQJC"	"A2LQ33BQ8G259D"	"Approved"	"Mon Dec 02 07:39:05 PST 2013"	"Sun Dec 01 14:54:43 PST 2013"	"Sun Dec 01 14:59:05 PST 2013"	"Sun Dec 01 15:07:41 PST 2013"	""	""	""	""	"""mustache"""	"""null"""	"-1"	"60"	"30"	"-1"	"0"	"""Meta cognition, or how we think and reason about what other people know."""	"0"	"1"	"""2"""	"1"	"0"	""""""	"1"	"""1"""	"""friend"""	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"10"	"0"
"2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 14:37:28 PST 2013"	"49"	"0"	"0"	"49"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 14:37:28 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2N867D1X3V0F3TIOG7AE7M7UDDMCJU"	"A2A1LLEC2PCWRM"	"Approved"	"Mon Dec 02 07:43:56 PST 2013"	"Sun Dec 01 15:01:37 PST 2013"	"Sun Dec 01 15:03:56 PST 2013"	"Sun Dec 01 15:07:40 PST 2013"	""	""	""	""	"""mustache"""	"""null"""	"-1"	"0"	"0"	"-1"	"0"	"""Communication"""	"0"	"1"	"""2"""	"1"	"0"	"""I thought he meant to say \""no mustache\"" because it would narrow it down to only one. Saying just mustache is confusing when two of them have one."""	"1"	"""1"""	"""friend"""	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"100"	"0"
"2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Dec 01 14:37:28 PST 2013"	"49"	"0"	"0"	"49"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Dec 08 14:37:28 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2IMIXKO2L92HX52A22UYUCCHUVYEDM"	"2NAPDOBDDP8P2PQU9IZXSB3VW2CD28"	"AOEIN8UBJ1C3B"	"Approved"	"Mon Dec 02 07:45:08 PST 2013"	"Sun Dec 01 15:03:34 PST 2013"	"Sun Dec 01 15:05:08 PST 2013"	"Sun Dec 01 15:07:40 PST 2013"	""	""	""	""	"""glasses"""	"""null"""	"-1"	"50"	"50"	"-1"	"0"	"""Bob and his interest in visiting friends"""	"0"	"1"	"""2"""	"1"	"0"	""""""	"1"	"""1"""	"""friend"""	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"0"	"0"
