"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.target_property"	"Answer.familiarization_cond"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_target"	"Answer.participant_response_type_condition"	"Answer.linguistic_framing_condition"	"Answer.target_frequency"	"Answer.participant_feature_count_condition"	"Answer.target_filler_sequence_condition"	"Answer.target_position"	"Answer.name_check_correct"	"Answer.Likert_value_foil"	"Answer.comment"	"Answer.manip_check_dist"	"Answer.item"	"Answer.Likert_value_logical"	"Answer.question_type_condition"	"Answer.choice"	"Answer.money_allocated_to_target"	"Answer.about"	"Answer.familiarization_present_in_study"	"Answer.manip_check_target"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"
"2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Nov 18 03:51:30 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Nov 25 03:51:30 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2S0IUB2YU98J0LZL78C0LBJE95YL98"	"A19G04CNY1NV48"	"Approved"	"Mon Nov 18 20:33:18 PST 2013"	"Mon Nov 18 03:52:11 PST 2013"	"Mon Nov 18 03:53:18 PST 2013"	"Mon Nov 18 03:57:32 PST 2013"	""	""	""	""	"""hat"""	"-1"	"-1"	"6"	"2"	"0"	"0"	"1"	"0"	"""middle"""	"""TRUE"""	"1"	""""""	"""1"""	"""friend"""	"6"	"0"	"""null"""	"-1"	"""Bobs favorite friend"""	"0"	"""2"""	"""FALSE"""	"-1"
"2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Nov 18 03:51:30 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Nov 25 03:51:30 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2IA9NZW6HEZ677AQSCK8C9GZDJOYOR"	"ACVEFRSUAPSEQ"	"Approved"	"Mon Nov 18 20:34:01 PST 2013"	"Mon Nov 18 03:52:40 PST 2013"	"Mon Nov 18 03:54:01 PST 2013"	"Mon Nov 18 03:57:32 PST 2013"	""	""	""	""	"""mustache"""	"-1"	"-1"	"6"	"2"	"0"	"0"	"1"	"0"	"""middle"""	"""TRUE"""	"1"	"""no"""	"""1"""	"""friend"""	"5"	"0"	"""null"""	"-1"	"""understanding what is meant with little information"""	"0"	"""2"""	"""FALSE"""	"-1"
"2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Nov 18 03:51:30 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Nov 25 03:51:30 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2WAKMN9U8P9YM1ZWS293YUYNDH6DUB"	"A2A5BI9XU4UTJC"	"Approved"	"Mon Nov 18 20:34:18 PST 2013"	"Mon Nov 18 03:52:36 PST 2013"	"Mon Nov 18 03:54:18 PST 2013"	"Mon Nov 18 03:57:32 PST 2013"	""	""	""	""	"""hat"""	"-1"	"-1"	"6"	"2"	"0"	"0"	"1"	"0"	"""middle"""	"""TRUE"""	"1"	""""""	"""1"""	"""friend"""	"6"	"0"	"""null"""	"-1"	"""Judgments on what a person thinks by what he says """	"0"	"""2"""	"""FALSE"""	"-1"
"2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Nov 18 03:51:30 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Nov 25 03:51:30 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2SMB2YU98JHSCEH3H56BP9IT201BNA"	"AD8FKMXMFHO2N"	"Approved"	"Mon Nov 18 20:35:17 PST 2013"	"Mon Nov 18 03:54:43 PST 2013"	"Mon Nov 18 03:55:17 PST 2013"	"Mon Nov 18 03:57:31 PST 2013"	""	""	""	""	"""glasses"""	"-1"	"-1"	"6"	"2"	"0"	"0"	"1"	"0"	"""right"""	"""TRUE"""	"5"	""""""	"""1"""	"""friend"""	"6"	"0"	"""null"""	"-1"	"""Impressions of people."""	"0"	"""2"""	"""FALSE"""	"-1"
"2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Nov 18 03:51:30 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Nov 25 03:51:30 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"25CCJ011K27420FKM1X1EN4BLE3CAZ"	"A2BKU0NE7F3P0B"	"Approved"	"Mon Nov 18 20:37:45 PST 2013"	"Mon Nov 18 03:55:24 PST 2013"	"Mon Nov 18 03:57:45 PST 2013"	"Mon Nov 18 04:03:41 PST 2013"	""	""	""	""	"""hat"""	"-1"	"-1"	"4"	"2"	"0"	"0"	"1"	"0"	"""right"""	"""TRUE"""	"4"	"""Fun survey, thanks."""	"""1"""	"""friend"""	"4"	"0"	"""null"""	"-1"	"""Determining who Bob friend was by a mere suggestion that he HAS a hat."""	"0"	"""2"""	"""FALSE"""	"-1"
"2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Nov 18 03:51:30 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Nov 25 03:51:30 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2EUAESCWY2AO7VMMIJ7OUGQX33U003"	"AMUC6OI4A2GY4"	"Approved"	"Mon Nov 18 20:38:58 PST 2013"	"Mon Nov 18 03:58:04 PST 2013"	"Mon Nov 18 03:58:58 PST 2013"	"Mon Nov 18 04:03:41 PST 2013"	""	""	""	""	"""mustache"""	"-1"	"-1"	"4"	"2"	"0"	"0"	"1"	"0"	"""middle"""	"""TRUE"""	"1"	"""Love You"""	"""1"""	"""friend"""	"4"	"0"	"""null"""	"-1"	"""Bobs favorite friend"""	"0"	"""2"""	"""FALSE"""	"-1"
"2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Nov 18 03:51:30 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Nov 25 03:51:30 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2YI1SNQQ7Q67JY7QGHER72TV3ILT9K"	"A2T5TKB5P9UQSF"	"Approved"	"Mon Nov 18 20:39:14 PST 2013"	"Mon Nov 18 03:58:16 PST 2013"	"Mon Nov 18 03:59:14 PST 2013"	"Mon Nov 18 04:13:35 PST 2013"	""	""	""	""	"""glasses"""	"-1"	"-1"	"6"	"2"	"0"	"0"	"1"	"0"	"""left"""	"""FALSE"""	"4"	""""""	"""1"""	"""friend"""	"6"	"0"	"""null"""	"-1"	"""Determining a friend"""	"0"	"""2"""	"""FALSE"""	"-1"
"2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Nov 18 03:51:30 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Nov 25 03:51:30 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"28GCCF0CP5KX8MONENOYM4PRY4MVWS"	"A3GTLCTTVIMPOL"	"Approved"	"Mon Nov 18 20:39:31 PST 2013"	"Mon Nov 18 03:58:02 PST 2013"	"Mon Nov 18 03:59:31 PST 2013"	"Mon Nov 18 04:03:41 PST 2013"	""	""	""	""	"""hat"""	"-1"	"-1"	"5"	"2"	"0"	"0"	"1"	"0"	"""middle"""	"""TRUE"""	"1"	""""""	"""1"""	"""friend"""	"5"	"0"	"""null"""	"-1"	"""about Bob's favorite friend"""	"0"	"""2"""	"""FALSE"""	"-1"
"2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Nov 18 03:51:30 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Nov 25 03:51:30 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2WL6YTWX4H3HLIH49E0GO6IOISU3Y3"	"A2APPZDU0VS9LN"	"Approved"	"Mon Nov 18 20:40:04 PST 2013"	"Mon Nov 18 03:59:20 PST 2013"	"Mon Nov 18 04:00:04 PST 2013"	"Mon Nov 18 04:13:34 PST 2013"	""	""	""	""	"""hat"""	"-1"	"-1"	"5"	"2"	"0"	"0"	"1"	"0"	"""right"""	"""TRUE"""	"1"	""""""	"""1"""	"""friend"""	"5"	"0"	"""null"""	"-1"	"""perception"""	"0"	"""2"""	"""FALSE"""	"-1"
"2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Nov 18 03:51:30 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Nov 25 03:51:30 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2I8P6AUC26DGP0J1T8M0LK0EHSA3AU"	"29CPFE4EGDHD5VBL4N0N5W6M5GV9JW"	"A1UTBDKOQ2MKUD"	"Approved"	"Mon Nov 18 20:40:55 PST 2013"	"Mon Nov 18 04:00:04 PST 2013"	"Mon Nov 18 04:00:55 PST 2013"	"Mon Nov 18 04:13:34 PST 2013"	""	""	""	""	"""mustache"""	"-1"	"-1"	"4"	"2"	"0"	"0"	"1"	"0"	"""middle"""	"""TRUE"""	"1"	""""""	"""1"""	"""friend"""	"4"	"0"	"""null"""	"-1"	"""Judgement"""	"0"	"""2"""	"""FALSE"""	"-1"
