"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.target_property"	"Answer.familiarization_cond"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_target"	"Answer.participant_response_type_condition"	"Answer.linguistic_framing_condition"	"Answer.target_frequency"	"Answer.participant_feature_count_condition"	"Answer.target_filler_sequence_condition"	"Answer.target_position"	"Answer.name_check_correct"	"Answer.Likert_value_foil"	"Answer.comment"	"Answer.manip_check_dist"	"Answer.item"	"Answer.Likert_value_logical"	"Answer.question_type_condition"	"Answer.choice"	"Answer.money_allocated_to_target"	"Answer.about"	"Answer.familiarization_present_in_study"	"Answer.manip_check_target"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"
"2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 18:34:17 PST 2013"	"80"	"55"	"0"	"25"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 10 21:42:33 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2RX7DZKPFE4EZ6NDI7WLEI9SOLW5FD"	"A1SE65F2EN67HH"	"Approved"	"Mon Nov 11 11:17:58 PST 2013"	"Sun Nov 10 18:36:12 PST 2013"	"Sun Nov 10 18:37:58 PST 2013"	"Sun Nov 10 19:02:54 PST 2013"	""	""	""	""	"""hat"""	"0"	"25"	"-1"	"1"	"0"	"0.22"	"1"	"0"	"""left"""	"""TRUE"""	"-1"	""""""	"""1"""	"""friend"""	"-1"	"0"	"""null"""	"75"	"""Which friend he was referring to in that statement."""	"0"	"""2"""	"""FALSE"""	"0"
"2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 18:34:17 PST 2013"	"80"	"55"	"0"	"25"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 10 21:42:33 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2C21QP6AUC26W9C796O310FPP1F18B"	"ASM5L9UC418X9"	"Approved"	"Mon Nov 11 11:18:01 PST 2013"	"Sun Nov 10 18:36:18 PST 2013"	"Sun Nov 10 18:38:01 PST 2013"	"Sun Nov 10 19:02:54 PST 2013"	""	""	""	""	"""hat"""	"0"	"50"	"-1"	"1"	"0"	"0.22"	"1"	"0"	"""right"""	"""TRUE"""	"-1"	""""""	"""1"""	"""friend"""	"-1"	"0"	"""null"""	"30"	"""bet on $100 on which is bob's favorite"""	"0"	"""2"""	"""FALSE"""	"20"
"2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 18:34:17 PST 2013"	"80"	"55"	"0"	"25"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 10 21:42:33 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"20NJ8EBDPGFLPOIPS40RTDWNDKRG15"	"AVOF14300525D"	"Approved"	"Mon Nov 11 11:19:10 PST 2013"	"Sun Nov 10 18:35:53 PST 2013"	"Sun Nov 10 18:39:10 PST 2013"	"Sun Nov 10 19:02:54 PST 2013"	""	""	""	""	"""mustache"""	"0"	"50"	"-1"	"1"	"0"	"0.22"	"1"	"0"	"""left"""	"""FALSE"""	"-1"	"""no"""	"""1"""	"""friend"""	"-1"	"0"	"""null"""	"50"	"""To see how we would divide up $100 for a friend with a moustache."""	"0"	"""2"""	"""FALSE"""	"0"
"2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 18:34:17 PST 2013"	"80"	"55"	"0"	"25"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 10 21:42:33 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2NTX3V0FK0CO3VPEXRYPQK9QGLXNGL"	"A014570429HSF84C0QZCF"	"Approved"	"Mon Nov 11 11:20:30 PST 2013"	"Sun Nov 10 18:38:54 PST 2013"	"Sun Nov 10 18:40:30 PST 2013"	"Sun Nov 10 19:02:54 PST 2013"	""	""	""	""	"""mustache"""	"0"	"50"	"-1"	"1"	"0"	"0.22"	"1"	"0"	"""right"""	"""FALSE"""	"-1"	"""Good luck with your research. """	"""1"""	"""friend"""	"-1"	"0"	"""null"""	"50"	"""Probabilities and risk management?"""	"0"	"""2"""	"""FALSE"""	"0"
"2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 18:34:17 PST 2013"	"80"	"55"	"0"	"25"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 10 21:42:33 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2P64EGDHDM2541O9J4N6NEZBD3UMC9"	"A22A0A73TE6P9E"	"Approved"	"Mon Nov 11 11:21:25 PST 2013"	"Sun Nov 10 18:38:26 PST 2013"	"Sun Nov 10 18:41:25 PST 2013"	"Sun Nov 10 19:02:53 PST 2013"	""	""	""	""	"""mustache"""	"0"	"15"	"-1"	"1"	"0"	"0.22"	"1"	"0"	"""middle"""	"""TRUE"""	"-1"	"""i hope my input helps you"""	"""1"""	"""friend"""	"-1"	"0"	"""null"""	"70"	"""selecting bobs best friend"""	"0"	"""2"""	"""FALSE"""	"15"
"2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 18:34:17 PST 2013"	"80"	"55"	"0"	"25"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 10 21:42:33 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2U4J011K274JQ2QQSBS8T46ZM43DBC"	"A167W9A5U9Q6QO"	"Approved"	"Mon Nov 11 11:21:36 PST 2013"	"Sun Nov 10 18:39:52 PST 2013"	"Sun Nov 10 18:41:36 PST 2013"	"Sun Nov 10 19:06:37 PST 2013"	""	""	""	""	"""glasses"""	"0"	"50"	"-1"	"1"	"0"	"0.22"	"1"	"0"	"""middle"""	"""TRUE"""	"-1"	"""nope"""	"""1"""	"""friend"""	"-1"	"0"	"""null"""	"50"	"""betting on who bob would bet on if his friend had glasses. And identifying smiles with hats."""	"0"	"""2"""	"""FALSE"""	"0"
"2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 18:34:17 PST 2013"	"80"	"55"	"0"	"25"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 10 21:42:33 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2GCW4ZMAZHHRAELQWTEN1RH696FAJS"	"A1VOH5E2IH6IB6"	"Approved"	"Mon Nov 11 11:22:11 PST 2013"	"Sun Nov 10 18:39:47 PST 2013"	"Sun Nov 10 18:42:11 PST 2013"	"Sun Nov 10 19:06:37 PST 2013"	""	""	""	""	"""hat"""	"0"	"50"	"-1"	"1"	"0"	"0.22"	"1"	"0"	"""left"""	"""TRUE"""	"-1"	"""No. """	"""1"""	"""friend"""	"-1"	"0"	"""null"""	"50"	"""Friends with hats. """	"0"	"""2"""	"""FALSE"""	"0"
"2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 18:34:17 PST 2013"	"80"	"55"	"0"	"25"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 10 21:42:33 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"214JK63ZVE3HATQUEFH9PL5WS4RZA1"	"AKF8Y5DQ9PJP9"	"Approved"	"Mon Nov 11 11:22:27 PST 2013"	"Sun Nov 10 18:38:41 PST 2013"	"Sun Nov 10 18:42:27 PST 2013"	"Sun Nov 10 19:06:38 PST 2013"	""	""	""	""	"""hat"""	"0"	"50"	"-1"	"1"	"0"	"0.22"	"1"	"0"	"""middle"""	"""TRUE"""	"-1"	""""""	"""1"""	"""friend"""	"-1"	"0"	"""null"""	"50"	"""Bet who Bob's friend is with $100 out of 3 smiley faces."""	"0"	"""2"""	"""FALSE"""	"0"
"2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 18:34:17 PST 2013"	"80"	"55"	"0"	"25"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 10 21:42:33 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2Z7E4EGDHDM2OEEI5SQWCHE4VD5BLQ"	"A2LV5432PV1S39"	"Approved"	"Mon Nov 11 11:22:50 PST 2013"	"Sun Nov 10 18:42:03 PST 2013"	"Sun Nov 10 18:42:50 PST 2013"	"Sun Nov 10 19:06:39 PST 2013"	""	""	""	""	"""hat"""	"0"	"40"	"-1"	"1"	"0"	"0.22"	"1"	"0"	"""left"""	"""TRUE"""	"-1"	"""no"""	"""1"""	"""friend"""	"-1"	"0"	"""null"""	"40"	"""Deciding who someone's favorite friend is"""	"0"	"""2"""	"""FALSE"""	"20"
"2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 18:34:17 PST 2013"	"80"	"55"	"0"	"25"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 10 21:42:33 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=2QQJHSTLB3L0Y4P9ET2JKJRGNWUHT0"	"2WAKMN9U8P9YM1ZWS293YUYNBP8UD8"	"A2YKYAZYVWOXBO"	"Approved"	"Mon Nov 11 11:22:59 PST 2013"	"Sun Nov 10 18:40:26 PST 2013"	"Sun Nov 10 18:42:59 PST 2013"	"Sun Nov 10 19:06:39 PST 2013"	""	""	""	""	"""glasses"""	"0"	"40"	"-1"	"1"	"0"	"0.22"	"1"	"0"	"""middle"""	"""TRUE"""	"-1"	""""""	"""1"""	"""friend"""	"-1"	"0"	"""null"""	"50"	"""distributing money to bobs friends """	"0"	"""2"""	"""FALSE"""	"10"
