"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.target_property"	"Answer.choice"	"Answer.familiarization_cond"	"Answer.money_allocated_to_target"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_target"	"Answer.target_frequency"	"Answer.about"	"Answer.familiarization_present_in_study"	"Answer.participant_response_type_condition"	"Answer.manip_check_target"	"Answer.participant_feature_count_condition"	"Answer.target_filler_sequence_condition"	"Answer.comment"	"Answer.linguistic_framing_condition"	"Answer.manip_check_dist"	"Answer.item"	"Answer.target_position"	"Answer.name_check_correct"	"Answer.Likert_value_foil"	"Answer.choice_correct"	"Answer.Likert_value_logical"	"Answer.money_allocated_to_foil"	"Answer.question_type_condition"
"27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 21:49:23 PST 2013"	"128"	"0"	"0"	"128"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 17 21:49:23 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2B0N46UXFCD4OQIEPS4STTKNCT8USU"	"A2UIBR4W3PM7YB"	"Approved"	"Mon Nov 11 14:31:36 PST 2013"	"Sun Nov 10 21:49:51 PST 2013"	"Sun Nov 10 21:51:36 PST 2013"	"Sun Nov 10 22:04:38 PST 2013"	""	""	""	""	"""hat"""	"""null"""	"2"	"10"	"90"	"-1"	"0.667"	"""Patterns"""	"1"	"1"	"""2"""	"1"	"0"	"""None"""	"0"	"""1"""	"""friend"""	"""right"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"0"	"0"
"27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 21:49:23 PST 2013"	"128"	"0"	"0"	"128"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 17 21:49:23 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2S9PCGJ2D21OMPBXD5APVSI79OU5BN"	"ALQPGVQZEZSUE"	"Approved"	"Mon Nov 11 14:32:27 PST 2013"	"Sun Nov 10 21:50:35 PST 2013"	"Sun Nov 10 21:52:27 PST 2013"	"Sun Nov 10 22:04:38 PST 2013"	""	""	""	""	"""glasses"""	"""null"""	"2"	"100"	"0"	"-1"	"0.667"	"""memory"""	"1"	"1"	"""2"""	"1"	"0"	"""Thank you"""	"0"	"""1"""	"""friend"""	"""middle"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"0"	"0"
"27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 21:49:23 PST 2013"	"128"	"0"	"0"	"128"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 17 21:49:23 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2V0I9NZW6HEZPHK4M1YTE69LJCHXND"	"A1WMBIHFAYC3W0"	"Approved"	"Mon Nov 11 14:33:46 PST 2013"	"Sun Nov 10 21:51:54 PST 2013"	"Sun Nov 10 21:53:46 PST 2013"	"Sun Nov 10 22:43:17 PST 2013"	""	""	""	""	"""mustache"""	"""null"""	"3"	"100"	"0"	"-1"	"0.89"	"""Guessing who's his favorite friend"""	"1"	"1"	"""2"""	"1"	"0"	""""""	"0"	"""1"""	"""friend"""	"""middle"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"0"	"0"
"27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 21:49:23 PST 2013"	"128"	"0"	"0"	"128"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 17 21:49:23 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"21FDWIOV1S7S6WJTCZS34DZDCY7YJH"	"A9ISN92E5RTCQ"	"Approved"	"Mon Nov 11 14:34:32 PST 2013"	"Sun Nov 10 21:52:49 PST 2013"	"Sun Nov 10 21:54:32 PST 2013"	"Sun Nov 10 22:43:17 PST 2013"	""	""	""	""	"""hat"""	"""null"""	"3"	"100"	"0"	"-1"	"0.89"	"""Who Bob visits on Sunday and who his best friend is."""	"1"	"1"	"""2"""	"1"	"0"	""""""	"0"	"""1"""	"""friend"""	"""middle"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"0"	"0"
"27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 21:49:23 PST 2013"	"128"	"0"	"0"	"128"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 17 21:49:23 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"25EEC1PC6SK9ACE5K49ZKHMFZF20O1"	"A17Z6G1TRE4322"	"Approved"	"Mon Nov 11 14:35:43 PST 2013"	"Sun Nov 10 21:53:55 PST 2013"	"Sun Nov 10 21:55:43 PST 2013"	"Sun Nov 10 22:43:16 PST 2013"	""	""	""	""	"""hat"""	"""null"""	"1"	"50"	"20"	"-1"	"0.44"	"""People who have hats"""	"1"	"1"	"""2"""	"1"	"0"	""""""	"0"	"""1"""	"""friend"""	"""left"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"30"	"0"
"27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 21:49:23 PST 2013"	"128"	"0"	"0"	"128"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 17 21:49:23 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2AGHOVR14IXK7VR9YM5C2A62SO4876"	"A2T2YWGEGB6DKV"	"Approved"	"Mon Nov 11 14:36:22 PST 2013"	"Sun Nov 10 21:53:38 PST 2013"	"Sun Nov 10 21:56:22 PST 2013"	"Sun Nov 10 22:43:16 PST 2013"	""	""	""	""	"""glasses"""	"""null"""	"3"	"40"	"50"	"-1"	"0.89"	"""About Bob and his friends """	"1"	"1"	"""2"""	"1"	"0"	"""thanks"""	"0"	"""1"""	"""friend"""	"""middle"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"10"	"0"
"27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 21:49:23 PST 2013"	"128"	"0"	"0"	"128"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 17 21:49:23 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2NRKPFE4EGDHWF85HD99TZWB64F8I1"	"A3UJKLKN6MCTRY"	"Approved"	"Mon Nov 11 14:36:45 PST 2013"	"Sun Nov 10 21:54:53 PST 2013"	"Sun Nov 10 21:56:45 PST 2013"	"Sun Nov 10 22:43:17 PST 2013"	""	""	""	""	"""mustache"""	"""null"""	"1"	"20"	"80"	"-1"	"0.44"	"""Probability"""	"1"	"1"	"""8"""	"1"	"0"	"""No :)"""	"0"	"""5"""	"""friend"""	"""left"""	"""FALSE"""	"-1"	"""FALSE"""	"-1"	"0"	"0"
"27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 21:49:23 PST 2013"	"128"	"0"	"0"	"128"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 17 21:49:23 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2JCSSZVXX2Q4ON0KMTPGTIW6CIOO6Q"	"AVHG2CA7ORMX5"	"Approved"	"Mon Nov 11 14:37:02 PST 2013"	"Sun Nov 10 21:54:29 PST 2013"	"Sun Nov 10 21:57:02 PST 2013"	"Sun Nov 10 22:43:17 PST 2013"	""	""	""	""	"""glasses"""	"""null"""	"1"	"50"	"50"	"-1"	"0.44"	"""Bob and his favorite friend"""	"1"	"1"	"""2"""	"1"	"0"	"""no"""	"0"	"""1"""	"""friend"""	"""middle"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"0"	"0"
"27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 21:49:23 PST 2013"	"128"	"0"	"0"	"128"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 17 21:49:23 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"22HW1INMHGYQNC9N6GXBLMFKDOEJ62"	"A1B1LRNLE5B6K"	"Approved"	"Mon Nov 11 14:37:09 PST 2013"	"Sun Nov 10 21:54:43 PST 2013"	"Sun Nov 10 21:57:09 PST 2013"	"Sun Nov 10 22:43:16 PST 2013"	""	""	""	""	"""hat"""	"""null"""	"1"	"90"	"10"	"-1"	"0.44"	"""Remembering faces and who is who"""	"1"	"1"	"""2"""	"1"	"0"	""""""	"0"	"""1"""	"""friend"""	"""right"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"0"	"0"
"27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"2GDPFE4EGDHD5VBL4N0N5W6HEBW9J1"	"What is he talking about? (2-3 mins)"	"Short and fun! A 2-3 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Sun Nov 10 21:49:23 PST 2013"	"128"	"0"	"0"	"128"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Sun Nov 17 21:49:23 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=27A1CSTMOFXRWLAI865YJNXL74ZPSX"	"240LZ6R70G5RS1J8F8MEDWSXIDEO8C"	"A2ZAT1U6ONZPD4"	"Approved"	"Mon Nov 11 14:38:53 PST 2013"	"Sun Nov 10 21:55:31 PST 2013"	"Sun Nov 10 21:58:53 PST 2013"	"Sun Nov 10 22:43:17 PST 2013"	""	""	""	""	"""glasses"""	"""null"""	"2"	"75"	"15"	"-1"	"0.667"	"""Bobs friends"""	"1"	"1"	"""2"""	"1"	"0"	"""nope"""	"0"	"""1"""	"""friend"""	"""right"""	"""TRUE"""	"-1"	"""FALSE"""	"-1"	"10"	"0"
