"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.target_property"	"Answer.familiarization_cond"	"Answer.money_allocated_to_logical"	"Answer.Likert_value_target"	"Answer.participant_response_type_condition"	"Answer.comment"	"Answer.linguistic_framing_condition"	"Answer.manip_check_dist"	"Answer.item"	"Answer.Likert_value_logical"	"Answer.question_type_condition"	"Answer.choice"	"Answer.money_allocated_to_target"	"Answer.target_frequency"	"Answer.about"	"Answer.familiarization_present_in_study"	"Answer.manip_check_target"	"Answer.participant_feature_count_condition"	"Answer.target_filler_sequence_condition"	"Answer.target_position"	"Answer.name_check_correct"	"Answer.Likert_value_foil"	"Answer.choice_correct"	"Answer.money_allocated_to_foil"
"21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 02 11:09:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 09 11:09:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2UET6YTWX4H30VVB0I09MI6NCN02XH"	"A33EPJ1QJMZV10"	"Approved"	"Tue Dec 03 03:51:36 PST 2013"	"Mon Dec 02 11:10:23 PST 2013"	"Mon Dec 02 11:11:36 PST 2013"	"Mon Dec 02 11:21:58 PST 2013"	""	""	""	""	"""glasses"""	"-1"	"-1"	"6"	"2"	"""Thanks for the opportunity!"""	"1"	"""1"""	"""friend"""	"6"	"0"	"""null"""	"-1"	"0"	"""How people communicate with single words and how people interpret?"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 02 11:09:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 09 11:09:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2OKCWY2AOO2G5FKGKT7QYCMBB6Z33T"	"A329PFJYHB6RA1"	"Approved"	"Tue Dec 03 03:51:48 PST 2013"	"Mon Dec 02 11:10:51 PST 2013"	"Mon Dec 02 11:11:48 PST 2013"	"Mon Dec 02 11:21:57 PST 2013"	""	""	""	""	"""glasses"""	"-1"	"-1"	"5"	"2"	"""nice"""	"1"	"""1"""	"""friend"""	"3"	"0"	"""null"""	"-1"	"0"	"""friends"""	"0"	"""2"""	"1"	"0"	"""middle"""	"""TRUE"""	"4"	"""FALSE"""	"-1"
"21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 02 11:09:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 09 11:09:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=21UJ011K274JQ2QQSBS8T46WR0CDBG"	"20N66RLPHIT30O2ARP968NJVVXWG86"	"A328NWLCNGQ7GJ"	"Approved"	"Tue Dec 03 03:52:17 PST 2013"	"Mon Dec 02 11:10:59 PST 2013"	"Mon Dec 02 11:12:17 PST 2013"	"Mon Dec 02 11:21:57 PST 2013"	""	""	""	""	"""mustache"""	"-1"	"-1"	"4"	"2"	"""Nope."""	"1"	"""1"""	"""friend"""	"4"	"0"	"""null"""	"-1"	"0"	"""Determing what Bob was saying with a word."""	"0"	"""2"""	"1"	"0"	"""right"""	"""TRUE"""	"7"	"""FALSE"""	"-1"
"21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 02 11:09:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 09 11:09:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=21UJ011K274JQ2QQSBS8T46WR0CDBG"	"29YR70G5R98DRC9VACNSYTN35CSRBC"	"A2YTOX7SEDJ1TC"	"Approved"	"Tue Dec 03 03:53:07 PST 2013"	"Mon Dec 02 11:12:07 PST 2013"	"Mon Dec 02 11:13:07 PST 2013"	"Mon Dec 02 11:21:58 PST 2013"	""	""	""	""	"""glasses"""	"-1"	"-1"	"4"	"2"	""""""	"1"	"""1"""	"""friend"""	"4"	"0"	"""null"""	"-1"	"0"	"""Bob meeting a friend"""	"0"	"""2"""	"1"	"0"	"""middle"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 02 11:09:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 09 11:09:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=21UJ011K274JQ2QQSBS8T46WR0CDBG"	"28O2GTP9RA7SOPS12EPSUF75CI5VQK"	"A1U4Y3ODOM39QM"	"Approved"	"Tue Dec 03 03:54:45 PST 2013"	"Mon Dec 02 11:10:34 PST 2013"	"Mon Dec 02 11:14:45 PST 2013"	"Mon Dec 02 11:21:58 PST 2013"	""	""	""	""	"""mustache"""	"-1"	"-1"	"7"	"2"	""""""	"1"	"""1"""	"""friend"""	"5"	"0"	"""null"""	"-1"	"0"	"""Not sure, related to how people interpret simple communication with visual cues?"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 02 11:09:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 09 11:09:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2NUAC9KSSZVXGVW41ZLKWOYLGENK2C"	"AOOJY0XKNYJYZ"	"Approved"	"Tue Dec 03 04:01:11 PST 2013"	"Mon Dec 02 11:20:07 PST 2013"	"Mon Dec 02 11:21:11 PST 2013"	"Mon Dec 02 11:21:58 PST 2013"	""	""	""	""	"""mustache"""	"-1"	"-1"	"4"	"2"	""""""	"1"	"""1"""	"""friend"""	"4"	"0"	"""null"""	"-1"	"0"	"""language"""	"0"	"""2"""	"1"	"0"	"""middle"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 02 11:09:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 09 11:09:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2NE25L8I9NZWPAKZ2T54WW7Y12ZTJD"	"A2WGW5Y3ZFBDEC"	"Approved"	"Tue Dec 03 04:01:21 PST 2013"	"Mon Dec 02 11:19:47 PST 2013"	"Mon Dec 02 11:21:21 PST 2013"	"Mon Dec 02 11:21:58 PST 2013"	""	""	""	""	"""glasses"""	"-1"	"-1"	"7"	"2"	"""no"""	"1"	"""1"""	"""friend"""	"4"	"0"	"""null"""	"-1"	"0"	"""Bob and his friends."""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 02 11:09:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 09 11:09:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2ERMAZHHRRLF9TUNJ0IH7KHT2A7MDS"	"A2SNYBIYDPFIDW"	"Approved"	"Tue Dec 03 04:01:30 PST 2013"	"Mon Dec 02 11:20:55 PST 2013"	"Mon Dec 02 11:21:30 PST 2013"	"Mon Dec 02 11:21:57 PST 2013"	""	""	""	""	"""glasses"""	"-1"	"-1"	"4"	"2"	""""""	"1"	"""1"""	"""friend"""	"4"	"0"	"""null"""	"-1"	"0"	"""Who he is reffering to"""	"0"	"""3"""	"1"	"0"	"""left"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 02 11:09:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 09 11:09:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=21UJ011K274JQ2QQSBS8T46WR0CDBG"	"25OAVKI62NJQLUD2VE0QN6BPE8MSKN"	"A2APPZDU0VS9LN"	"Approved"	"Tue Dec 03 04:03:10 PST 2013"	"Mon Dec 02 11:22:41 PST 2013"	"Mon Dec 02 11:23:10 PST 2013"	"Mon Dec 02 11:25:08 PST 2013"	""	""	""	""	"""glasses"""	"-1"	"-1"	"6"	"2"	""""""	"1"	"""1"""	"""friend"""	"5"	"0"	"""null"""	"-1"	"0"	"""perception"""	"0"	"""2"""	"1"	"0"	"""left"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
"21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2J9TP9RA7S5W5UC9UXFFD0JMH00XSU"	"What is he talking about? (1-2 mins)"	"Short and fun! A 1-2 minute word game about what someone is talking about."	"experiment, psychology, game"	"$0.20"	"Mon Dec 02 11:09:57 PST 2013"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 scales"	"600"	"60000"	"Mon Dec 09 11:09:57 PST 2013"	"https://requester.mturk.com/mturk/manageHIT?HITId=21UJ011K274JQ2QQSBS8T46WR0CDBG"	"2S20RYNJ92NJ3F657RAT0HY1VCKA5O"	"A2TJGFPBFEIXMJ"	"Approved"	"Tue Dec 03 04:03:38 PST 2013"	"Mon Dec 02 11:22:15 PST 2013"	"Mon Dec 02 11:23:38 PST 2013"	"Mon Dec 02 11:25:08 PST 2013"	""	""	""	""	"""hat"""	"-1"	"-1"	"5"	"2"	""""""	"1"	"""1"""	"""friend"""	"5"	"0"	"""null"""	"-1"	"0"	"""Unsure what the true purpose was - to see how people took word cues to find a meaning?"""	"0"	"""2"""	"1"	"0"	"""middle"""	"""TRUE"""	"1"	"""FALSE"""	"-1"
